"Errors";"Object";"ID";"Country";"Vessel";"Vessel Material";"Capacity";"Diameter";"Pressure";"Markets";"GAS";"Body Color";"Shoulder color";"Cap Type";"Material";"PaintingType";"Valve Type";"Valve Material";"Thread gas outelet";"Norm";"Outlet Gas";"Deep tube";"Deep Tube Material";"Stamping";"Description Certificate";"Description";"Solvent";"Price";"Image"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL1892";"ITALY";"Cylinder";"Steel";"40";"203";;"Pure";"Carbon Dioxide (CO2)";"Beige RAL 1001";"Gray RAL 7037";"DIN closed";"Steel";"Galvanized";"Standard (25E)";"Brass";"W 21,7 x 1/14""";"UNI 4406";"Standard (derived from the gas, intended use, country)";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"143.50";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL1893";"ITALY";"Cylinder";"Steel";"40";"203";;"Pure";"Carbon Dioxide (CO2)";"Beige RAL 1001";"Gray RAL 7037";"DIN closed";"Steel";"Galvanized";"Residual (25E)";"Brass";"W 21,7 x 1/14""";"UNI 4406";"Standard (derived from the gas, intended use, country)";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"149.00";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL1894";"ITALY";"Cylinder";"Steel";"40";"229";;"Pure";"Carbon Dioxide (CO2)";"Beige RAL 1001";"Gray RAL 7037";"DIN closed";"Steel";"Galvanized";"Standard (25E)";"Brass";"W 21,7 x 1/14""";"UNI 4406";"Standard (derived from the gas, intended use, country)";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"143.50";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL1895";"ITALY";"Cylinder";"Steel";"40";"229";;"Pure";"Carbon Dioxide (CO2)";"Beige RAL 1001";"Gray RAL 7037";"DIN closed";"Steel";"Galvanized";"Residual (25E)";"Brass";"W 21,7 x 1/14""";"UNI 4406";"Standard (derived from the gas, intended use, country)";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"149.00";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL1896";"ITALY";"Cylinder";"Alloy";"40";"203";;"Pure";"Carbon Dioxide (CO2)";"Beige RAL 1001";"Gray RAL 7037";"DIN closed";"Steel";"Galvanized";"Standard (25E)";"Brass";"W 21,7 x 1/14""";"UNI 4406";"Standard (derived from the gas, intended use, country)";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"475.50";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL1897";"ITALY";"Cylinder";"Alloy";"40";"203";;"Pure";"Carbon Dioxide (CO2)";"Beige RAL 1001";"Gray RAL 7037";"DIN closed";"Steel";"Galvanized";"Residual (25E)";"Brass";"W 21,7 x 1/14""";"UNI 4406";"Standard (derived from the gas, intended use, country)";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"479.00";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL1898";"ITALY";"Cylinder";"Alloy";"40";"229";;"Pure";"Carbon Dioxide (CO2)";"Beige RAL 1001";"Gray RAL 7037";"DIN closed";"Steel";"Galvanized";"Standard (25E)";"Brass";"W 21,7 x 1/14""";"UNI 4406";"Standard (derived from the gas, intended use, country)";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"475.50";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL1899";"ITALY";"Cylinder";"Alloy";"40";"229";;"Pure";"Carbon Dioxide (CO2)";"Beige RAL 1001";"Gray RAL 7037";"DIN closed";"Steel";"Galvanized";"Residual (25E)";"Brass";"W 21,7 x 1/14""";"UNI 4406";"Standard (derived from the gas, intended use, country)";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"479.00";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL1900";"ITALY";"Cylinder";"Steel";"20";"203";;"Food";"Carbon Dioxide (CO2)";"Blue RAL 5021";"Gray RAL 7037";"Tulip";"Steel";"Galvanized";"Standard (25E)";"Brass";"W 21,7 x 1/14""";"UNI 4406";"Standard (derived from the gas, intended use, country)";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"117.50";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL1901";"ITALY";"Cylinder";"Steel";"20";"203";;"Food";"Carbon Dioxide (CO2)";"Blue RAL 5021";"Gray RAL 7037";"Tulip";"Steel";"Galvanized";"Residual (25E)";"Brass";"W 21,7 x 1/14""";"UNI 4406";"Standard (derived from the gas, intended use, country)";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"121.00";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL1902";"ITALY";"Cylinder";"Steel";"27";"203";;"Food";"Carbon Dioxide (CO2)";"Blue RAL 5021";"Gray RAL 7037";"Tulip";"Steel";"Galvanized";"Standard (25E)";"Brass";"W 21,7 x 1/14""";"UNI 4406";"Standard (derived from the gas, intended use, country)";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"132.50";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL1903";"ITALY";"Cylinder";"Steel";"27";"203";;"Food";"Carbon Dioxide (CO2)";"Blue RAL 5021";"Gray RAL 7037";"Tulip";"Steel";"Galvanized";"Residual (25E)";"Brass";"W 21,7 x 1/14""";"UNI 4406";"Standard (derived from the gas, intended use, country)";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"136.00";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL1904";"ITALY";"Cylinder";"Steel";"40";"203";;"Food";"Carbon Dioxide (CO2)";"Blue RAL 5021";"Gray RAL 7037";"Tulip";"Steel";"Galvanized";"Standard (25E)";"Brass";"W 21,7 x 1/14""";"UNI 4406";"Standard (derived from the gas, intended use, country)";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"145.50";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL1905";"ITALY";"Cylinder";"Steel";"40";"203";;"Food";"Carbon Dioxide (CO2)";"Blue RAL 5021";"Gray RAL 7037";"Tulip";"Steel";"Galvanized";"Residual (25E)";"Brass";"W 21,7 x 1/14""";"UNI 4406";"Standard (derived from the gas, intended use, country)";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"149.00";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL1906";"ITALY";"Cylinder";"Steel";"40";"229";;"Food";"Carbon Dioxide (CO2)";"Blue RAL 5021";"Gray RAL 7037";"Tulip";"Steel";"Galvanized";"Standard (25E)";"Brass";"W 21,7 x 1/14""";"UNI 4406";"Standard (derived from the gas, intended use, country)";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"145.50";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL1907";"ITALY";"Cylinder";"Steel";"40";"229";;"Food";"Carbon Dioxide (CO2)";"Blue RAL 5021";"Gray RAL 7037";"Tulip";"Steel";"Galvanized";"Residual (25E)";"Brass";"W 21,7 x 1/14""";"UNI 4406";"Standard (derived from the gas, intended use, country)";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"149.00";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL1908";"ITALY";"Cylinder";"Alloy";"20";"203";;"Food";"Carbon Dioxide (CO2)";"Blue RAL 5021";"Gray RAL 7037";"Tulip";"Steel";"Galvanized";"Standard (25E)";"Brass";"W 21,7 x 1/14""";"UNI 4406";"Standard (derived from the gas, intended use, country)";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"227.50";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL1909";"ITALY";"Cylinder";"Alloy";"20";"203";;"Food";"Carbon Dioxide (CO2)";"Blue RAL 5021";"Gray RAL 7037";"Tulip";"Steel";"Galvanized";"Residual (25E)";"Brass";"W 21,7 x 1/14""";"UNI 4406";"Standard (derived from the gas, intended use, country)";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"231.00";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL1910";"ITALY";"Cylinder";"Alloy";"27";"203";;"Food";"Carbon Dioxide (CO2)";"Blue RAL 5021";"Gray RAL 7037";"Tulip";"Steel";"Galvanized";"Standard (25E)";"Brass";"W 21,7 x 1/14""";"UNI 4406";"Standard (derived from the gas, intended use, country)";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"302.50";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL1911";"ITALY";"Cylinder";"Alloy";"27";"203";;"Food";"Carbon Dioxide (CO2)";"Blue RAL 5021";"Gray RAL 7037";"Tulip";"Steel";"Galvanized";"Residual (25E)";"Brass";"W 21,7 x 1/14""";"UNI 4406";"Standard (derived from the gas, intended use, country)";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"306.00";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL1912";"ITALY";"Cylinder";"Alloy";"40";"203";;"Food";"Carbon Dioxide (CO2)";"Blue RAL 5021";"Gray RAL 7037";"Tulip";"Steel";"Galvanized";"Standard (25E)";"Brass";"W 21,7 x 1/14""";"UNI 4406";"Standard (derived from the gas, intended use, country)";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"477.50";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL1913";"ITALY";"Cylinder";"Alloy";"40";"203";;"Food";"Carbon Dioxide (CO2)";"Blue RAL 5021";"Gray RAL 7037";"Tulip";"Steel";"Galvanized";"Residual (25E)";"Brass";"W 21,7 x 1/14""";"UNI 4406";"Standard (derived from the gas, intended use, country)";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"481.00";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL1914";"ITALY";"Cylinder";"Alloy";"40";"229";;"Food";"Carbon Dioxide (CO2)";"Blue RAL 5021";"Gray RAL 7037";"Tulip";"Steel";"Galvanized";"Standard (25E)";"Brass";"W 21,7 x 1/14""";"UNI 4406";"Standard (derived from the gas, intended use, country)";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"477.50";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL1915";"ITALY";"Cylinder";"Alloy";"40";"229";;"Food";"Carbon Dioxide (CO2)";"Blue RAL 5021";"Gray RAL 7037";"Tulip";"Steel";"Galvanized";"Residual (25E)";"Brass";"W 21,7 x 1/14""";"UNI 4406";"Standard (derived from the gas, intended use, country)";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"481.00";"imagecache/cylinder/ITA-O2-IND-T.jpg"
