"Object","ID","Country","Vessel","Cylinder Colour IMAGE","Cylinder Body ID","Vessel Material","Capacity","Diameter","Pressure","Markets","GAS","Body Color","Shoulder color","Cap Type","Cap ID","Cap Material","PaintingType","Valve Type","Valve ID","Valve Material","Thread gas outelet","Norm","Outlet Gas","Deep tube","Deep tube ID","Deep Tube Material","Stamping","Description Certificate","Description","Solvent","Price"
8028,"Cyl0001","ITALY","Cylinder","ITA-O2-IND-T.jpg","CB1","Steel",1,102,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","Tulip","CAP3","Steel","Galvanized","Standard (25E)","VA2","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"I A - I O","I A - I O",,,"49.5"
8029,"Cyl0002","ITALY","Cylinder","ITA-O2-IND-T.jpg","CB1","Steel",1,102,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","Tulip","CAP3","Steel","Galvanized","Standard mignon (17E)","VA3","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"I A - I O","I A - I O",,,"49.5"
8030,"Cyl0003","ITALY","Cylinder","ITA-O2-IND-T.jpg","CB1","Steel",1,102,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","Tulip","CAP3","Steel","Galvanized","Residual (25E)","VA4","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"I A - I O","I A - I O",,,"53"
8031,"Cyl0004","ITALY","Cylinder","ITA-O2-IND-T.jpg","CB1","Steel",1,102,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","Tulip","CAP3","Steel","Galvanized","Residual mignon (17E)","VA5","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"I A - I O","I A - I O",,,"53"
8032,"Cyl0005","ITALY","Cylinder","ITA-O2-IND-D.jpg","CB1","Steel",1,102,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","DIN closed","CAP2","Steel","Galvanized","Standard (25E)","VA2","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"I A - I O","I A - I O",,,"47.5"
8033,"Cyl0006","ITALY","Cylinder","ITA-O2-IND-D.jpg","CB1","Steel",1,102,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","DIN closed","CAP2","Steel","Galvanized","Standard mignon (17E)","VA3","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"I A - I O","I A - I O",,,"47.5"
8034,"Cyl0007","ITALY","Cylinder","ITA-O2-IND-D.jpg","CB1","Steel",1,102,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","DIN closed","CAP2","Steel","Galvanized","Residual (25E)","VA4","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"I A - I O","I A - I O",,,"51"
8035,"Cyl0008","ITALY","Cylinder","ITA-O2-IND-D.jpg","CB1","Steel",1,102,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","DIN closed","CAP2","Steel","Galvanized","Residual mignon (17E)","VA5","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"I A - I O","I A - I O",,,"51"
8036,"Cyl0009","ITALY","Cylinder","ITA-O2-IND-T.jpg","CB1","Steel",1,111,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","Tulip","CAP3","Steel","Galvanized","Standard (25E)","VA2","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"I A - I O","I A - I O",,,"49.5"
8037,"Cyl0010","ITALY","Cylinder","ITA-O2-IND-T.jpg","CB1","Steel",1,111,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","Tulip","CAP3","Steel","Galvanized","Standard mignon (17E)","VA3","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"I A - I O","I A - I O",,,"49.5"
