"Object","ID","COUNTRY","GAS","Markets","Thread","Norm","Valve Type","Chrome pleted","Pressure","Residual Pressure","Connection Type","Material","Photo","Price"
12705,"Val001","Italy","Acetylene (C2H2)","All markets","D. 20 x D. 10","UNI 4411/1","Standard (25E)","Not",200,"Not","C - Yoke Outlet","Brass","Brass_YokeOutlet.jpg","6.50"
12706,"Val002","Italy","Acetylene (C2H2)","All markets","G 5/8"" Left","UNI 4411/2","Standard (25E)","Not",200,"Not","A - Female","Brass","Brass_Female.jpg","6.50"
12707,"Val003","Italy","Anhydr. Ammonia (NH3)","All markets","W 30 x 1/14"" Left","UNI 4407","Standard mignon (17E)","-",200,"Not","B - Male","Steel","Steel_Male.jpg","90.00"
12708,"Val004","Italy","Anhydr. Ammonia (NH3)","All markets","W 30 x 1/14"" Left","UNI 4407","Standard (25E)","-",200,"Not","B - Male","Steel","Steel_Male.jpg","90.00"
12709,"Val005","Italy","Carbon Dioxide (CO2)","All markets","W 21,7 x 1/14""","UNI 4406","Standard mignon (17E)","Not",200,"Not","B - Male","Brass","Brass_Male.jpg","7.00"
12710,"Val006","Italy","Carbon Dioxide (CO2)","All markets","W 21,7 x 1/14""","UNI 4406","Standard (25E)","Not",200,"Not","B - Male","Brass","Brass_Male.jpg","7.00"
12711,"Val007","Italy","Carbon Dioxide (CO2)","Medical","D 27 x 2","ISO 5145 Gr.2","Standard mignon (17E)","-",200,"Not","B - Male","Steel","Steel_Male.jpg","90.00"
12712,"Val008","Italy","Carbon Dioxide (CO2)","Medical","D 27 x 2","ISO 5145 Gr.2","Standard (25E)","-",200,"Not","B - Male","Steel","Steel_Male.jpg","90.00"
12713,"Val009","Italy","Carbon Dioxide (CO2)","Medical","D 27 x 2","ISO 5145 Gr.2","Standard mignon (17E)","Not",200,"Not","B - Male","Brass","Brass_Male.jpg","7.00"
12714,"Val010","Italy","Carbon Dioxide (CO2)","Medical","D 27 x 2","ISO 5145 Gr.2","Standard (25E)","Not",200,"Not","B - Male","Brass","Brass_Male.jpg","7.00"
12715,"Val011","Italy","Carbon Dioxide (CO2)","Medical","D 27 x 2","ISO 5145 Gr.2","Standard mignon (17E)","Yes",200,"Not","B - Male","Brass chrome plated","BC_Male.jpg","7.50"
12716,"Val012","Italy","Carbon Dioxide (CO2)","Medical","D 27 x 2","ISO 5145 Gr.2","Standard (25E)","Yes",200,"Not","B - Male","Brass chrome plated","BC_Female.jpg","7.50"
12717,"Val013","Italy","Argon (Ar)","All markets","W 24,5 x 1/14""","UNI 4412","Standard mignon (17E)","-",200,"Not","A - Female","Steel","Steel_Female.jpg","90.00"
12718,"Val014","Italy","Argon (Ar)","All markets","W 24,5 x 1/14""","UNI 4412","Standard (25E)","-",200,"Not","A - Female","Steel","Steel_Female.jpg","90.00"
12719,"Val015","Italy","Argon (Ar)","All markets","W 24,5 x 1/14""","UNI 4412","Standard mignon (17E)","Not",200,"Not","A - Female","Brass","Brass_Female.jpg","6.00"
12720,"Val016","Italy","Argon (Ar)","All markets","W 24,5 x 1/14""","UNI 4412","Standard (25E)","Not",200,"Not","A - Female","Brass","Brass_Female.jpg","6.00"
12721,"Val017","Italy","Argon (Ar)","All markets","W 24,5 x 1/14""","UNI 4412","Standard mignon (17E)","Yes",200,"Not","A - Female","Brass chrome plated","BC_Female.jpg","6.50"
12722,"Val018","Italy","Argon (Ar)","All markets","W 24,5 x 1/14""","UNI 4412","Standard (25E)","Yes",200,"Not","A - Female","Brass chrome plated","BC_Female.jpg","6.50"
12723,"Val019","Italy","Compressed Air","All markets","W 30 x 1/14""","UNI 4410","Standard mignon (17E)","Not",200,"Not","B - Male","Brass","Brass_Male.jpg","6.00"
