"ID","COUNTRY","GAS","Markets","Thread","Norm","Connection Type","Valve Type","Material","Chrome pleted","Pressure","Residual Pressure","Photo","Price"
"Val001","Italy","Acetylene (C2H2)","All markets","D. 20 x D. 10","UNI 4411/1","C - Yoke Outlet","Standard (25E)","Brass","Not",200,"Not","Brass_YokeOutlet.jpg","6.50"
"Val002","Italy","Acetylene (C2H2)","All markets","G 5/8"" Left","UNI 4411/2","A - Female","Standard (25E)","Brass","Not",200,"Not","Brass_Female.jpg","6.50"
"Val003","Italy","Anhydrous Ammonia (NH3)","All markets","W 30 x 1/14"" Left","UNI 4407","B - Male","Standard mignon (17E)","Steel","-",200,"Not","Steel_Male.jpg","90.00"
"Val004","Italy","Anhydrous Ammonia (NH3)","All markets","W 30 x 1/14"" Left","UNI 4407","B - Male","Standard (25E)","Steel","-",200,"Not","Steel_Male.jpg","90.00"
"Val005","Italy","Carbon Dioxide (CO2)","All markets","W 21,7 x 1/14""","UNI 4406","B - Male","Standard mignon (17E)","Brass","Not",200,"Not","Brass_Male.jpg","7.00"
"Val006","Italy","Carbon Dioxide (CO2)","All markets","W 21,7 x 1/14""","UNI 4406","B - Male","Standard (25E)","Brass","Not",200,"Not","Brass_Male.jpg","7.00"
"Val007","Italy","Carbon Dioxide (CO2)","Medical","D 27 x 2","ISO 5145 Gr.2","B - Male","Standard mignon (17E)","Steel","-",200,"Not","Steel_Male.jpg","90.00"
"Val008","Italy","Carbon Dioxide (CO2)","Medical","D 27 x 2","ISO 5145 Gr.2","B - Male","Standard (25E)","Steel","-",200,"Not","Steel_Male.jpg","90.00"
"Val009","Italy","Carbon Dioxide (CO2)","Medical","D 27 x 2","ISO 5145 Gr.2","B - Male","Standard mignon (17E)","Brass","Not",200,"Not","Brass_Male.jpg","7.00"
"Val010","Italy","Carbon Dioxide (CO2)","Medical","D 27 x 2","ISO 5145 Gr.2","B - Male","Standard (25E)","Brass","Not",200,"Not","Brass_Male.jpg","7.00"
"Val011","Italy","Carbon Dioxide (CO2)","Medical","D 27 x 2","ISO 5145 Gr.2","B - Male","Standard mignon (17E)","Brass chrome plated","Yes",200,"Not","Brass_Male.jpg","7.50"
"Val012","Italy","Carbon Dioxide (CO2)","Medical","D 27 x 2","ISO 5145 Gr.2","B - Male","Standard (25E)","Brass chrome plated","Yes",200,"Not","Brass_Male.jpg","7.50"
"Val013","Italy","Argon (Ar)","All markets","W 24,5 x 1/14""","UNI 4412","A - Female","Standard mignon (17E)","Steel","-",200,"Not","Steel_Female.jpg","90.00"
"Val014","Italy","Argon (Ar)","All markets","W 24,5 x 1/14""","UNI 4412","A - Female","Standard (25E)","Steel","-",200,"Not","Steel_Female.jpg","90.00"
