"ID","COUNTRY","GAS","Markets","Thread","Norm","Connection Type","Valve Type","Material","Chrome pleted","Pressure","Residual Pressure","Price"
"Val001","Italy","Acetylene (C2H2)","All markets","D. 20 x D. 10","UNI 4411/1","C - Yoke Outlet","Standard (25E)","Brass","Not",200,"Not","6,5"
"Val002","Italy","Acetylene (C2H2)","All markets","G 5/8"" Left","UNI 4411/2","A - Female","Standard (25E)","Brass","Not",200,"Not","6,5"
"Val003","Italy","Anhydrous Ammonia (NH3)","All markets","W 30 x 1/14"" Left","UNI 4407","B - Male","Standard mignon (17E)","Steel","-",200,"Not",90
"Val004","Italy","Anhydrous Ammonia (NH3)","All markets","W 30 x 1/14"" Left","UNI 4407","B - Male","Standard (25E)","Steel","-",200,"Not",90
"Val005","Italy","Carbon Dioxide (CO2)","All markets","W 21,7 x 1/14""","UNI 4406","B - Male","Standard mignon (17E)","Brass","Not",200,"Not",7
"Val006","Italy","Carbon Dioxide (CO2)","All markets","W 21,7 x 1/14""","UNI 4406","B - Male","Standard (25E)","Brass","Not",200,"Not",7
"Val007","Italy","Carbon Dioxide (CO2)","Medical","D 27 x 2","ISO 5145 Gr.2","B - Male","Standard mignon (17E)","Steel","-",200,"Not",90
"Val008","Italy","Carbon Dioxide (CO2)","Medical","D 27 x 2","ISO 5145 Gr.2","B - Male","Standard (25E)","Steel","-",200,"Not",90
"Val009","Italy","Carbon Dioxide (CO2)","Medical","D 27 x 2","ISO 5145 Gr.2","B - Male","Standard mignon (17E)","Brass","Not",200,"Not",7
"Val010","Italy","Carbon Dioxide (CO2)","Medical","D 27 x 2","ISO 5145 Gr.2","B - Male","Standard (25E)","Brass","Not",200,"Not",7
"Val011","Italy","Carbon Dioxide (CO2)","Medical","D 27 x 2","ISO 5145 Gr.2","B - Male","Standard mignon (17E)","Brass chrome plated","Yes",200,"Not","7,5"
"Val012","Italy","Carbon Dioxide (CO2)","Medical","D 27 x 2","ISO 5145 Gr.2","B - Male","Standard (25E)","Brass chrome plated","Yes",200,"Not","7,5"
"Val013","Italy","Argon (Ar)","All markets","W 24,5 x 1/14""","UNI 4412 ","A - Female","Standard mignon (17E)","Steel","-",200,"Not",90
"Val014","Italy","Argon (Ar)","All markets","W 24,5 x 1/14""","UNI 4412 ","A - Female","Standard (25E)","Steel","-",200,"Not",90
"Val015","Italy","Argon (Ar)","All markets","W 24,5 x 1/14""","UNI 4412 ","A - Female","Standard mignon (17E)","Brass","Not",200,"Not",6
"Val016","Italy","Argon (Ar)","All markets","W 24,5 x 1/14""","UNI 4412 ","A - Female","Standard (25E)","Brass","Not",200,"Not",6
"Val017","Italy","Argon (Ar)","All markets","W 24,5 x 1/14""","UNI 4412 ","A - Female","Standard mignon (17E)","Brass chrome plated","Yes",200,"Not","6,5"
"Val018","Italy","Argon (Ar)","All markets","W 24,5 x 1/14""","UNI 4412 ","A - Female","Standard (25E)","Brass chrome plated","Yes",200,"Not","6,5"
"Val019","Italy","Compressed Air","All markets","W 30 x 1/14""","UNI 4410","B - Male","Standard mignon (17E)","Brass","Not",200,"Not",6
"Val020","Italy","Compressed Air","All markets","W 30 x 1/14""","UNI 4410","B - Male","Standard (25E)","Brass","Not",200,"Not",6
"Val021","Italy","Compressed Air","All markets","W 30 x 1/14""","UNI 4410","B - Male","Standard mignon (17E)","Brass chrome plated","Yes",200,"Not","6,5"
"Val022","Italy","Compressed Air","All markets","W 30 x 1/14""","UNI 4410","B - Male","Standard (25E)","Brass chrome plated","Yes",200,"Not","6,5"
"Val023","Italy","Compressed Air","Medical","W 30 x 1/14""","UNI 4410","B - Male","Standard mignon (17E)","Brass chrome plated","Yes",200,"Not","6,5"
"Val024","Italy","Compressed Air","Medical","W 30 x 1/14""","UNI 4410","B - Male","Standard (25E)","Brass chrome plated","Yes",200,"Not","6,5"
"Val025","Italy","Nitrogen (N2)","All markets","W 21,7 x 1/14""","UNI 4409","A - Female","Standard mignon (17E)","Steel","-",200,"Not",90
"Val026","Italy","Nitrogen (N2)","All markets","W 21,7 x 1/14""","UNI 4409","A - Female","Standard (25E)","Steel","-",200,"Not",90
"Val027","Italy","Nitrogen (N2)","All markets","W 21,7 x 1/14""","UNI 4409","A - Female","Standard mignon (17E)","Brass","Not",200,"Not",6
"Val028","Italy","Nitrogen (N2)","All markets","W 21,7 x 1/14""","UNI 4409","A - Female","Standard (25E)","Brass","Not",200,"Not",6
"Val029","Italy","Nitrogen (N2)","All markets","W 21,7 x 1/14""","UNI 4409","A - Female","Standard mignon (17E)","Brass chrome plated","Yes",200,"Not","6,5"
"Val030","Italy","Nitrogen (N2)","All markets","W 21,7 x 1/14""","UNI 4409","A - Female","Standard (25E)","Brass chrome plated","Yes",200,"Not","6,5"
"Val031","Italy","Chlorine (Cl2)","All markets","W 1"" x 1/8""","UNI 4408","B - Male","Standard mignon (17E)","Steel","-",200,"Not",90
"Val032","Italy","Chlorine (Cl2)","All markets","W 1"" x 1/8""","UNI 4408","B - Male","Standard (25E)","Steel","-",200,"Not",90
"Val033","Italy","Helium (He)","All markets","W 24,5 x 1/14""","UNI 4412 ","A - Female","Standard mignon (17E)","Steel","-",200,"Not",90
"Val034","Italy","Helium (He)","All markets","W 24,5 x 1/14""","UNI 4412 ","A - Female","Standard (25E)","Steel","-",200,"Not",90
"Val035","Italy","Helium (He)","All markets","W 24,5 x 1/14""","UNI 4412 ","A - Female","Standard mignon (17E)","Brass","Not",200,"Not",6
