"Object","ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo","Photo","Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
15128,"ACC001","Italy","Comunicazione","Lavagne, pannelli","Marcatore per lavagne cancellabile nero (confezione da 12 pezzi)","Marcatore per lavagne cancellabile nero",12,"7.92","Marcatore-per-lavagne-cancellabile-in-colori-assortiti.JPG","FALSO","FALSO","SMR","N010",,
15129,"ACC002","Italy","Comunicazione","Lavagne, pannelli","Marcatore per lavagne cancellabile blu (confezione da 12 pezzi)","Marcatore per lavagne cancellabile blu",12,"7.92","Marcatore-per-lavagne-cancellabile-in-colori-assortiti.JPG","FALSO","FALSO","SMR","N010",,
15130,"ACC003","Italy","Comunicazione","Lavagne, pannelli","Marcatore per lavagne cancellabile rosso (confezione da 12 pezzi)","Marcatore per lavagne cancellabile rosso",12,"7.92","Marcatore-per-lavagne-cancellabile-in-colori-assortiti.JPG","FALSO","FALSO","SMR","N010",,
15131,"ACC004","Italy","Comunicazione","Lavagne, pannelli","Marcatore per lavagne cancellabile verde (confezione da 12 pezzi)","Marcatore per lavagne cancellabile verde",12,"7.92","Marcatore-per-lavagne-cancellabile-in-colori-assortiti.JPG","FALSO","FALSO","SMR","N010",,
15132,"ACC006","Italy","Comunicazione","Lavagne, pannelli","Pannello bacheca adesivo e riposizionabile 3M color sughero","Pannello bacheca adesivo e riposizionabile 3M color sughero",1,"11.24","Pannello-bacheca-adesivo-e-riposizionabile-3M-color-sughero.jpg","FALSO","FALSO","SMR","N010",,
15133,"ACC008","Italy","Comunicazione","Lavagne, pannelli","Pannello in sughero 120x90 Nobo","Pannello in sughero 120x90 Nobo",1,"35.91","Pannello-in-sughero-Nobo.jpg","FALSO","FALSO","SMR","N010",,
15134,"ACC022","Italy","Comunicazione","Lavagne, pannelli","Marcatore per lavagne cancellabile in colori assortiti","Marcatore per lavagne cancellabile in colori assortiti",4,"3.67","Marcatore-per-lavagne-cancellabile-in-colori-assortiti.JPG","FALSO","FALSO","SMR","N010",,
15135,"ACC023","Italy","Comunicazione","Lavagne, pannelli","Pannello in sughero 45x60","Pannello in sughero 45x60",1,"19.08","Pannello-in-sughero-Nobo.jpg","FALSO","FALSO","SMR","N010",,
15136,"ACC024","Italy","Comunicazione","Lavagne, pannelli","Pannello in sughero 60x90 Nobo","Pannello in sughero 60x90 Nobo",1,"25.11","Pannello-in-sughero-Nobo.jpg","FALSO","FALSO","SMR","N010",,
15137,"ACC025","Italy","Comunicazione","Lavagne, pannelli","Lavagna portablocco a cavalletto","Lavagna portablocco a cavalletto",1,"43.00","Lavagna-portablocco-a-cavalletto.jpg","FALSO","FALSO","SMR","N010",,
15138,"ACC026","Italy","Comunicazione","Lavagne, pannelli","Blocco di ricambio per lavagne","Blocco di ricambio per lavagne",5,"18.48","Blocco-di-ricambio-per-lavagne.jpg","FALSO","FALSO","SMR","N010",,
15139,"ACC027","Italy","Comunicazione","Lavagne, pannelli","Lavagna magnetica 45x60","Lavagna magnetica 45x60",1,"18.90","Lavagna-magnetica.jpg","FALSO","FALSO","SMR","N010",,
15140,"ACC028","Italy","Comunicazione","Lavagne, pannelli","Lavagna magnetica 60x90","Lavagna magnetica 60x90",1,"25.52","Lavagna-magnetica.jpg","FALSO","FALSO","SMR","N010",,
15141,"ACC029","Italy","Comunicazione","Lavagne, pannelli","Lavagna magnetica 90x120","Lavagna magnetica 90x120",1,"46.26","Lavagna-magnetica.jpg","FALSO","FALSO","SMR","N010",,
15142,"ACC030","Italy","Comunicazione","Lavagne, pannelli","Magnetini blu 40mm","Magnetini blu 40mm",12,"2.64","Magnetini-40mm.jpg","FALSO","FALSO","SMR","N010",,
15143,"ACC031","Italy","Comunicazione","Lavagne, pannelli","Magnetini rossi 40mm","Magnetini rossi 40mm",12,"2.64","Magnetini-40mm.jpg","FALSO","FALSO","SMR","N010",,
15144,"ACC032","Italy","Comunicazione","Lavagne, pannelli","Basic kit per lavagne magnetiche","Basic kit per lavagne magnetiche",1,"18.00","Basic-kit-per-lavagne-magnetiche.jpg","FALSO","FALSO","SMR","N010",,
15145,"ACC033","Italy","Comunicazione","Lavagne, pannelli","Gesso bianco rotondo","Gesso bianco rotondo",100,"4.62","Gesso-bianco-rotondo.JPG","FALSO","FALSO","SMR","N010",,
15146,"ACC034","Italy","Comunicazione","Lavagne, pannelli","Cancellino magnetico","Cancellino magnetico",1,"1.96","Cancellino-magnetico.jpg","FALSO","FALSO","SMR","N010",,
15147,"ACC035","Italy","Comunicazione","Lavagne, pannelli","Spray per la pulizia di lavagne bianche","Spray per la pulizia di lavagne bianche",1,"2.82","Spray-per-la-pulizia-di-lavagne-bianche.JPG","FALSO","FALSO","SMR","N010",,
0,"ACC036","Italy","Comunicazione","Lavagne, pannelli","Confezione da 100 spilli a sfera in colori assortiti","Confezione da 100 spilli a sfera in colori assortiti",100,"347","Confezione-da-100-spilli-a-sfera-in-colori-assortiti.jpg","FALSO","FALSO","SMR","N010",,
0,"ACC037","Italy","Comunicazione","Lavagne, pannelli","Confezione da 100 puntine di acciaio","Confezione da 100 puntine di acciaio",100,"111","Confezione-da-100-puntine-di-acciaio.jpg","FALSO","FALSO","SMR","N010",,
0,"ACC038","Italy","Comunicazione","Lavagne, pannelli","Confezione da 80 puntine colorate blu","Confezione da 80 puntine colorate blu",80,"69","Confezione-da-80-puntine-colorate-.jpg","FALSO","FALSO","SMR","N010",,
0,"ACC039","Italy","Comunicazione","Lavagne, pannelli","Confezione da 80 puntine colorate rosse","Confezione da 80 puntine colorate rosse",80,"69","Confezione-da-80-puntine-colorate-.jpg","FALSO","FALSO","SMR","N010",,
15148,"ACC040","Italy","Comunicazione","Lavagne, pannelli","Salviette per lavagne bianche","Salviette per lavagne bianche",100,"1.86","Salviette-per-lavagne-bianche.jpg","FALSO","FALSO","SMR","N010",,
15149,"ACC041","Italy","Comunicazione","Lucidi","Lucidi per stampanti 3M CG3460","Lucidi per stampanti 3M CG3460",50,"42.70","Lucidi-per-stampanti.jpg","FALSO","FALSO","SMR","N010",,
15150,"ACC042","Italy","Comunicazione","Lucidi","Lucidi per fotocopie 3M PP2500","Lucidi per fotocopie",100,"24.94","Lucidi-per-stampanti.jpg","FALSO","FALSO","SMR","N010",,
15151,"ACC043","Italy","Comunicazione","Lucidi","Lucidi per stampanti laser CG3300","Lucidi per stampanti laser CG3300",50,"14.86","Lucidi-per-stampanti.jpg","FALSO","FALSO","SMR","N010",,
15152,"ACC044","Italy","Comunicazione","Portabadge","Portabadge da portafogli","Portabadge da portafogli",1,"0.36","Portabadge-da-portafogli.jpg","FALSO","FALSO","SMR","N013",,
15153,"ACC045","Italy","Comunicazione","Portabadge","Portabadge con attacco per nastro","Portabadge con attacco per nastro",100,"52.91","Portabadge-con-attacco-per-nastro.JPG","FALSO","FALSO","SMR","N013",,
15154,"ACC046","Italy","Etichettatrici, ricambi","Etichettatrici Dymo","Etichettatrice portatile Dymo LP150","Etichettatrice portatile Dymo LP150",1,"36.28","Etichettatrice-portatile-Dymo-LP150.jpg","FALSO","FALSO","SMR","N010",,
15155,"ACC047","Italy","Etichettatrici, ricambi","Etichettatrici Dymo","Etichettatrice Dymo LM220","Etichettatrice Dymo LM220",1,"41.00","Etichettatrice-Dymo-LM220.jpg","FALSO","FALSO","SMR","N010",,
15156,"ACC048","Italy","Etichettatrici, ricambi","Etichette adesive","Foglio di etichette autoadesive 210X297 mm","Foglio di etichette autoadesive 210X297 mm",100,"6.90","Etichette-adesive.jpg","FALSO","FALSO","SMR","N010",,
15157,"ACC049","Italy","Etichettatrici, ricambi","Etichette adesive","Foglio di etichette laser-ink jet A4 105X72","Foglio di etichette laser-ink jet A4 105X72",100,"7.07","Etichette-adesive.jpg","FALSO","FALSO","SMR","N010",,
15158,"ACC050","Italy","Etichettatrici, ricambi","Etichette adesive","Portaetichette trasparente 65x140","Portaetichette trasparente 65x140",10,"2.72","Etichette-adesive.jpg","FALSO","FALSO","SMR","N010",,
15159,"ACC051","Italy","Etichettatrici, ricambi","Etichette adesive","Etichette adesive 105x48","Etichette adesive 105x48",1200,"4.41","Etichette-adesive.jpg","FALSO","FALSO","SMR","N012",,
15160,"ACC052","Italy","Etichettatrici, ricambi","Etichette adesive","Foglio di etichette laser 70X36","Foglio di etichette laser 70X36",100,"7.07","Etichette-adesive.jpg","FALSO","FALSO","SMR","N010",,
15161,"ACC053","Italy","Etichettatrici, ricambi","Etichette adesive","Foglio di etichette laser 210X48","Foglio di etichette laser 210X48",100,"7.07","Etichette-adesive.jpg","FALSO","FALSO","SMR","N010",,
15162,"ACC054","Italy","Etichettatrici, ricambi","Etichette Avery","Etichetta Poliest. L4775","Etichetta Poliest. L4775",20,"27.31","Etichetta-Poliest.-L4775.JPG","FALSO","FALSO","SMR","N012",,
15163,"ACC055","Italy","Etichettatrici, ricambi","Etichette Avery","Etichetta Poliest. L4773","Etichetta Poliest. L4773",20,"27.31","Etichetta-Poliest.-L4773.jpg","FALSO","FALSO","SMR","N012",,
15164,"ACC056","Italy","Etichettatrici, ricambi","Etichette Avery","Etichetta Poliest. L7068","Etichetta Poliest. L7068",25,"27.31","Etichetta-Poliest.-L7068.JPG","FALSO","FALSO","SMR","N012",,
15165,"ACC057","Italy","Etichettatrici, ricambi","Ricambi Dymo","Nastro Dymo 12mmx7mt nero su bianco","Nastro Dymo 12mmx7mt nero su bianco",1,"9.36","Nastro-Dymo.jpg","FALSO","FALSO","SMR","N010",,
15166,"ACC058","Italy","Etichettatrici, ricambi","Ricambi Dymo","Nastro Dymo 12mmx7mt nero su trasparente","Nastro Dymo 12mmx7mt nero su trasparente",1,"10.90","Nastro-Dymo.jpg","FALSO","FALSO","SMR","N010",,
15167,"ACC059","Italy","Etichettatrici, ricambi","Ricambi Dymo","Nastro Dymo 12mmx7mt nero su giallo","Nastro Dymo 12mmx7mt nero su giallo",1,"10.90","Nastro-Dymo.jpg","FALSO","FALSO","SMR","N010",,
15168,"ACC060","Italy","Etichettatrici, ricambi","Ricambi Dymo","Nastro Dymo 12mmx7mt nero su blu","Nastro Dymo 12mmx7mt nero su blu",1,"10.90","Nastro-Dymo.jpg","FALSO","FALSO","SMR","N010",,
15169,"ACC061","Italy","Etichettatrici, ricambi","Ricambi Dymo","Nastro Dymo Letratag bianco 12x4 mt","Nastro Dymo Letratag bianco 12x4 mt",1,"4.83","Nastro-Dymo-Letratag-bianco-12x4-mt.jpg","FALSO","FALSO","SMR","N010",,
15170,"ACC064","Italy","Etichettatrici, ricambi","Ricambi Dymo","Nastro Dymo Letratag giallo 12x4mt","Nastro Dymo Letratag giallo 12x4mt",1,"6.06","Nastro-Dymo-Letratag-giallo-12x4mt.jpg","FALSO","FALSO","SMR","N010",,
15171,"ACC065","Italy","Etichettatrici, ricambi","Ricambi Dymo","Nastro Dymo Letratag rosso 12x4mt","Nastro Dymo Letratag rosso 12x4mt",1,"4.77","Nastro-Dymo-Letratag-tutti-12x4mt.jpg","FALSO","FALSO","SMR","N010",,
15172,"ACC066","Italy","Etichettatrici, ricambi","Ricambi Dymo","Nastro Dymo Letratag verde 12x4mt","Nastro Dymo Letratag verde 12x4mt",1,"4.83","Nastro-Dymo-Letratag-tutti-12x4mt.jpg","FALSO","FALSO","SMR","N010",,
15173,"ACC067","Italy","Etichettatrici, ricambi","Ricambi Dymo","Nastro Dymo Letratag blu 12x4mt","Nastro Dymo Letratag blu 12x4mt",1,"4.77","Nastro-Dymo-Letratag-tutti-12x4mt.jpg","FALSO","FALSO","SMR","N010",,
15174,"ACC070","Italy","Etichettatrici, ricambi","Ricambi Dymo","Nastro Dymo 12mmx7mt nero su rosso","Nastro Dymo 12mmx7mt nero su rosso",1,"10.90","Nastro-Dymo.jpg","FALSO","FALSO","SMR","N010",,
15175,"ACC071","Italy","Etichettatrici, ricambi","Ricambi Dymo","Nastro Dymo 12mmx7mt nero su verde","Nastro Dymo 12mmx7mt nero su verde",1,"10.90","Nastro-Dymo.jpg","FALSO","FALSO","SMR","N010",,
15176,"ACC072","Italy","Etichettatrici, ricambi","Ricambi Dymo","Alimentatore universale Dymo","Alimentatore universale Dymo",1,"25.60","Alimentatore-universale-Dymo.jpg","FALSO","FALSO","SMR","N010",,
15177,"ACC073","Italy","Etichettatrici, ricambi","Ricambi Dymo","Nastro Dymo D1 9X7 nero su bianco","Nastro Dymo D1 9X7 nero su bianco",1,"9.74","Nastro-Dymo.jpg","FALSO","FALSO","SMR","N010",,
15178,"ACC074","Italy","Imballaggio, sigilli","Imballaggio","Cutter lama grande","Cutter lama grande",1,"0.52","Cutter-lama-grande.jpg","FALSO","FALSO","SMR","N010",,
15179,"ACC075","Italy","Imballaggio, sigilli","Imballaggio","Film estensibile","Film estensibile",6,"27.12","Film-estensibile.jpg","FALSO","FALSO","SMR","N014",,
15180,"ACC076","Italy","Imballaggio, sigilli","Imballaggio","Buste sovrapacco 11x17","Buste sovrapacco 11x17",100,"9.62","Busta-sovrapacco.jpg","FALSO","FALSO","SMR","N010",,
15181,"ACC077","Italy","Imballaggio, sigilli","Imballaggio","Busta minigrip con cerniera 15x22","Busta minigrip con cerniera 15x22",100,"3.13","Busta-minigrip-con-cerniera-.jpg","FALSO","FALSO","SMR","N010",,
15182,"ACC078","Italy","Imballaggio, sigilli","Imballaggio","Busta minigrip con cerniera 25x35","Busta minigrip con cerniera 25x35",100,"6.29","Busta-minigrip-con-cerniera-.jpg","FALSO","FALSO","SMR","N010",,
15183,"ACC079","Italy","Imballaggio, sigilli","Imballaggio","Busta sovrapacco 21x16","Busta sovrapacco 21x16",100,"11.03","Busta-sovrapacco.jpg","FALSO","FALSO","SMR","N010",,
15184,"ACC080","Italy","Imballaggio, sigilli","Imballaggio","Lame di ricambio per cutter","Lame di ricambio per cutter",10,"1.67","Lame-di-ricambio-per-cutter.jpg","FALSO","FALSO","SMR","N010",,
15185,"ACC081","Italy","Imballaggio, sigilli","Imballaggio","Elastici 60 mm (1 kg)","Elastici 60 mm (1 kg)",1,"3.88","Elastici-150_60mm.jpg","FALSO","FALSO","SMR","N010",,
15186,"ACC082","Italy","Imballaggio, sigilli","Imballaggio","Elastici 150 mm (1 kg)","Elastici 150 mm (1 kg)",1,"4.08","Elastici-150_60mm.jpg","FALSO","FALSO","SMR","N010",,
15187,"ACC083","Italy","Imballaggio, sigilli","Imballaggio","Nastro biadesivo 19x50","Nastro biadesivo 19x50",1,"2.28","Nastro-biadesivo-19x50.jpg","FALSO","FALSO","SMR","N010",,
15188,"ACC084","Italy","Imballaggio, sigilli","Imballaggio","Nastratore con frizione","Nastratore con frizione",1,"9.58","Nastratore-con-frizione.jpg","FALSO","FALSO","SMR","N010",,
15189,"ACC085","Italy","Imballaggio, sigilli","Imballaggio","Fascetta Nylon 200 x 2,5mm","Fascetta Nylon 200 x 2,5mm",1000,"7.80","Fascetta-Nylon-200-x-2,5mm.jpg","FALSO","FALSO","SMR","N014",,
15190,"ACC086","Italy","Imballaggio, sigilli","Nastro adesivo","Rotolo di nastro adesivo SOL","Rotolo di nastro adesivo SOL",36,"33.70","Rotolo-di-nastro-adesivo-SOL.jpg","FALSO","FALSO","SMR","N014",,
15191,"ACC087","Italy","Imballaggio, sigilli","Nastro adesivo","Rotolo di nastro adesivo VIVISOL","Rotolo di nastro adesivo VIVISOL",36,"33.70","Rotolo-di-nastro-adesivo-VIVISOL.jpg","FALSO","FALSO","SMR","N014",,
15192,"ACC090","Italy","Imballaggio, sigilli","Sigilli di garanzia","Sigillo di garanzia per unità base ossigeno liquido MVE p/n TP003","Tappini DEWAR O2 liquido",5000,"100.00","Sigillo-di-garanzia-per-unita-base-ossigeno-liquido-MVE-pn-TP003.jpg","FALSO","FALSO","SMR","N011",,
15193,"ACC091","Italy","Imballaggio, sigilli","Sigilli di garanzia","Sigillo di garanzia per unità base ossigeno liquido Penox p/n TP002","Tappini U.B. PENOX",2500,"50.00","Sigillo-di-garanzia-per-unita-base-ossigeno-liquido-Penox-pn-TP002.jpg","FALSO","FALSO","SMR","N011",,
