"ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo",,"Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
"ACC001","Italy","Comunicazione","Lavagne, pannelli e accessori","Marcatore per lavagne cancellabile nero (confezione da 12 pezzi)","Marcatore per lavagne cancellabile nero",12,"7.92",,FALSO,FALSO,"SMR","N010",,
"ACC002","Italy","Comunicazione","Lavagne, pannelli e accessori","Marcatore per lavagne cancellabile blu (confezione da 12 pezzi)","Marcatore per lavagne cancellabile blu",12,"7.92",,FALSO,FALSO,"SMR","N010",,
"ACC003","Italy","Comunicazione","Lavagne, pannelli e accessori","Marcatore per lavagne cancellabile rosso (confezione da 12 pezzi)","Marcatore per lavagne cancellabile rosso",12,"7.92",,FALSO,FALSO,"SMR","N010",,
"ACC004","Italy","Comunicazione","Lavagne, pannelli e accessori","Marcatore per lavagne cancellabile verde (confezione da 12 pezzi)","Marcatore per lavagne cancellabile verde",12,"7.92",,FALSO,FALSO,"SMR","N010",,
"ACC005","Italy","Comunicazione","Lavagne, pannelli e accessori","Pannello bacheca adesivo e riposizionabile 3M color azzurro (art. 27709Q)","Pannello bacheca adesivo e riposizionabile 3M color azzurro (art. 27709Q)",1,"10.37",,FALSO,VERO,"SMR","N010",,
"ACC006","Italy","Comunicazione","Lavagne, pannelli e accessori","Pannello bacheca adesivo e riposizionabile 3M color sughero","Pannello bacheca adesivo e riposizionabile 3M color sughero",1,"11.24",,FALSO,FALSO,"SMR","N010",,
"ACC007","Italy","Comunicazione","Lavagne, pannelli e accessori","Pannello in sughero 90x60cm. Corporate Express (art. 41313P)","Pannello in sughero 90x60cm. Corporate Express (art. 41313P)",1,"30.17",,FALSO,VERO,"SMR","N010",,
"ACC008","Italy","Comunicazione","Lavagne, pannelli e accessori","Pannello in sughero 120x90 Nobo","Pannello in sughero 120x90 Nobo",1,"35.91",,FALSO,FALSO,"SMR","N010",,
"ACC009","Italy","Comunicazione","Lavagne, pannelli e accessori","Lavagna magnetica C.E. smaltata bianco 90x60cm. (art. 43693Q)","Lavagna magnetica C.E. smaltata bianco 90x60cm. (art. 43693Q)",1,"45.51",,FALSO,VERO,"SMR","N010",,
"ACC010","Italy","Comunicazione","Lavagne, pannelli e accessori","Lavagna magnetica C.E. smaltata bianco 120x90cm (art. 43694U)","Lavagna magnetica C.E. smaltata bianco 120x90cm (art. 43694U)",1,"78.52",,FALSO,VERO,"SMR","N010",,
"ACC011","Italy","Comunicazione","Lavagne, pannelli e accessori","Planisfero politico plastificato 83X120 (art. 26138K)","Planisfero politico plastificato 83X120 (art. 26138K)",1,"39.88",,FALSO,VERO,"SMR","N010",,
"ACC012","Italy","Comunicazione","Lavagne, pannelli e accessori","Cartina stradale Italia magnetica Nobo 125x105cm. (art. 25538Z)","Cartina stradale Italia magnetica Nobo 125x105cm. (art. 25538Z)",1,"153.13",,FALSO,VERO,"SMR","N010",,
"ACC013","Italy","Comunicazione","Lavagne, pannelli e accessori","Planisfero politico magnetico Nobo 87x124cm (art. 26136A)","Planisfero politico magnetico Nobo 87x124cm (art. 26136A)",1,"153.13",,FALSO,VERO,"SMR","N010",,
"ACC014","Italy","Comunicazione","Lavagne, pannelli e accessori","Cartina stradale d'Europa magnetica Nobo 111x95cm. (art. 26137E)","Cartina stradale d'Europa magnetica Nobo 111x95cm. (art. 26137E)",1,"153.13",,FALSO,VERO,"SMR","N010",,
"ACC015","Italy","Comunicazione","Lavagne, pannelli e accessori","Cancellino magnetico per lavagne bianche C.Express (art. 25470A)","Cancellino magnetico per lavagne bianche C.Express (art. 25470A)",1,"9.66",,FALSO,VERO,"SMR","N010",,
"ACC016","Italy","Comunicazione","Lavagne, pannelli e accessori","Portapennarelli magnetico per lavagne C.Express (art. 41377D)","Portapennarelli magnetico per lavagne C.Express (art. 41377D)",1,"5.02",,FALSO,VERO,"SMR","N010",,
"ACC017","Italy","Comunicazione","Lavagne, pannelli e accessori","Magneti per lavagna rotondi blu dm.20 sc.10 (art. 25442U)","Magneti per lavagna rotondi blu dm.20 sc.10 (art. 25442U)",1,"3.58",,FALSO,VERO,"SMR","N010",,
"ACC018","Italy","Comunicazione","Lavagne, pannelli e accessori","Magneti per lavagna rotondi blu dm.30 sc.10 (art. 24194K)","Magneti per lavagna rotondi blu dm.30 sc.10 (art. 24194K)",1,"4.54",,FALSO,VERO,"SMR","N010",,
"ACC019","Italy","Comunicazione","Lavagne, pannelli e accessori","Magneti per lavagna rotondi blu dm.40 sc.10 (art. 24200U)","Magneti per lavagna rotondi blu dm.40 sc.10 (art. 24200U)",1,"6.44",,FALSO,VERO,"SMR","N010",,
"ACC020","Italy","Comunicazione","Lavagne, pannelli e accessori","Schiuma pulizia x lavagne bianche C.Express 150ml (art. 23626C)","Schiuma pulizia x lavagne bianche C.Express 150ml (art. 23626C)",1,"6.11",,FALSO,VERO,"SMR","N010",,
"ACC021","Italy","Comunicazione","Lavagne, pannelli e accessori","Starter Kit per lavagne bianche C.Express (art. 41376M)","Starter Kit per lavagne bianche C.Express (art. 41376M)",1,"41.13",,FALSO,VERO,"SMR","N010",,
"ACC022","Italy","Comunicazione","Lavagne, pannelli e accessori","Marcatore per lavagne cancellabile in colori assortiti","Marcatore per lavagne cancellabile in colori assortiti",4,"3.67",,FALSO,FALSO,"SMR","N010",,
"ACC023","Italy","Comunicazione","Lavagne, pannelli e accessori","Pannello in sughero 45x60","Pannello in sughero 45x60",1,"19.08",,FALSO,FALSO,"SMR","N010",,
"ACC024","Italy","Comunicazione","Lavagne, pannelli e accessori","Pannello in sughero 60x90 Nobo","Pannello in sughero 60x90 Nobo",1,"25.11",,FALSO,FALSO,"SMR","N010",,
"ACC025","Italy","Comunicazione","Lavagne, pannelli e accessori","Lavagna portablocco a cavalletto","Lavagna portablocco a cavalletto",1,"43.00",,FALSO,FALSO,"SMR","N010",,
"ACC026","Italy","Comunicazione","Lavagne, pannelli e accessori","Blocco di ricambio per lavagne","Blocco di ricambio per lavagne",5,"18.48",,FALSO,FALSO,"SMR","N010",,
"ACC027","Italy","Comunicazione","Lavagne, pannelli e accessori","Lavagna magnetica 45x60","Lavagna magnetica 45x60",1,"18.90",,FALSO,FALSO,"SMR","N010",,
"ACC028","Italy","Comunicazione","Lavagne, pannelli e accessori","Lavagna magnetica 60x90","Lavagna magnetica 60x90",1,"25.52",,FALSO,FALSO,"SMR","N010",,
"ACC029","Italy","Comunicazione","Lavagne, pannelli e accessori","Lavagna magnetica 90x120","Lavagna magnetica 90x120",1,"46.26",,FALSO,FALSO,"SMR","N010",,
"ACC030","Italy","Comunicazione","Lavagne, pannelli e accessori","Magnetini blu 40mm","Magnetini blu 40mm",12,"2.64",,FALSO,FALSO,"SMR","N010",,
"ACC031","Italy","Comunicazione","Lavagne, pannelli e accessori","Magnetini rossi 40mm","Magnetini rossi 40mm",12,"2.64",,FALSO,FALSO,"SMR","N010",,
"ACC032","Italy","Comunicazione","Lavagne, pannelli e accessori","Basic kit per lavagne magnetiche","Basic kit per lavagne magnetiche",1,"18.00",,FALSO,FALSO,"SMR","N010",,
"ACC033","Italy","Comunicazione","Lavagne, pannelli e accessori","Gesso bianco rotondo","Gesso bianco rotondo",100,"4.62",,FALSO,FALSO,"SMR","N010",,
"ACC034","Italy","Comunicazione","Lavagne, pannelli e accessori","Cancellino magnetico","Cancellino magnetico",1,"1.96",,FALSO,FALSO,"SMR","N010",,
"ACC035","Italy","Comunicazione","Lavagne, pannelli e accessori","Spray per la pulizia di lavagne bianche","Spray per la pulizia di lavagne bianche",1,"2.82",,FALSO,FALSO,"SMR","N010",,
