"ID","Country","Categoria","Settore","DescrEn","Prodotto","Confezione","Prezzo",,"Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
"AU0001","Italy","Accessori ufficio","Accessori per la scrivania","Perforatore 25 fogli","Perforatore 25 fogli",1,247,,FALSO,FALSO,"SMR","N010",,
"AU0002","Italy","Accessori ufficio","Accessori per la scrivania","Cucitrice a pinza ZENITH 548/E","Cucitrice a pinza ZENITH 548/E",1,1345,,FALSO,FALSO,"SMR","N010",,
"AU0003","Italy","Accessori ufficio","Accessori per la scrivania","Punti Zenith 130/E (confezione da 10 scatole)","Punti Zenith 130/E (confezione da 10 scatole)",10,486,,FALSO,FALSO,"SMR","N010",,
"AU0004","Italy","Accessori ufficio","Accessori per la scrivania","Levapunti in metallo","Levapunti in metallo",1,151,,FALSO,FALSO,"SMR","N010",,
"AU0005","Italy","Accessori ufficio","Accessori per la scrivania","Forbice impugnatura ABS cm.17","Forbice impugnatura ABS cm.17",1,34,,FALSO,FALSO,"SMR","N010",,
"AU0006","Italy","Accessori ufficio","Accessori per la scrivania","Forbici nichelate con impugnatura ABS 21 cm","Forbici nichelate con impugnatura ABS 21 cm",1,79,,FALSO,FALSO,"SMR","N010",,
"AU0007","Italy","Accessori ufficio","Accessori per la scrivania","Righello in plexiglass da 20 cm","Righello in plexiglass da 20 cm",1,51,,FALSO,FALSO,"SMR","N010",,
"AU0008","Italy","Accessori ufficio","Accessori per la scrivania","Righello in plexiglass da 30 cm","Righello in plexiglass da 30 cm",1,42,,FALSO,FALSO,"SMR","N010",,
"AU0009","Italy","Accessori ufficio","Accessori per la scrivania","Temperamatite 1 foro","Temperamatite 1 foro",1,23,,FALSO,FALSO,"SMR","N010",,
"AU0010","Italy","Accessori ufficio","Accessori per la scrivania","Temperamatite 2 fori","Temperamatite 2 fori",1,49,,FALSO,FALSO,"SMR","N010",,
"AU0011","Italy","Accessori ufficio","Accessori per la scrivania","Cucitrice Elica","Cucitrice Elica",1,473,,FALSO,FALSO,"SMR","N010",,
