"Object","Object","Object","ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo",,"Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
25204,15728,11688,"CBP001","Italy","Penne, accessori","Correttori","Correttore a nastro","Correttore a nastro",1,"1.41",,FALSO,FALSO,"SMR","N010",,
25205,15729,11689,"CBP002","Italy","Penne, accessori","Correttori","Corr. liquido Multifluid 20 ml.","Corr. liquido Multifluid 20 ml.",1,"0.44",,FALSO,FALSO,"SMR","N010",,
25206,15730,11690,"CBP003","Italy","Penne, accessori","Correttori","Correttore a penna","Correttore a penna",1,"2.52",,FALSO,FALSO,"SMR","N010",,
25207,15731,11691,"CBP004","Italy","Penne, accessori","Evidenziatori, marcatori","Evidenziatore verde","Evidenziatore verde",10,"0.95",,FALSO,FALSO,"SMR","N010",,
25208,15732,11692,"CBP005","Italy","Penne, accessori","Evidenziatori, marcatori","Evidenziatore giallo","Evidenziatore giallo",10,"0.95",,FALSO,FALSO,"SMR","N010",,
25209,15733,11693,"CBP006","Italy","Penne, accessori","Evidenziatori, marcatori","Evidenziatore colori assortiti","Evidenziatore colori assortiti",6,"1.54",,FALSO,FALSO,"SMR","N010",,
25210,15734,11694,"CBP007","Italy","Penne, accessori","Evidenziatori, marcatori","Evidenziatore arancio","Evidenziatore arancio",10,"0.95",,FALSO,FALSO,"SMR","N010",,
25211,15735,11695,"CBP008","Italy","Penne, accessori","Evidenziatori, marcatori","Evidenziatore blu","Evidenziatore blu",10,"0.95",,FALSO,FALSO,"SMR","N010",,
25212,15736,11696,"CBP009","Italy","Penne, accessori","Evidenziatori, marcatori","Evidenziatore rosa","Evidenziatore rosa",10,"0.95",,FALSO,FALSO,"SMR","N010",,
25213,15737,11697,"CBP010","Italy","Penne, accessori","Evidenziatori, marcatori","Marcatore perm. N50 p conica nero cf.12","Marcatore perm. N50 p conica nero cf.12",12,"9.45",,FALSO,FALSO,"SMR","N010",,
25214,15738,11698,"CBP011","Italy","Penne, accessori","Evidenziatori, marcatori","Marcatore perm. N50 p conica blu cf.12","Marcatore perm. N50 p conica blu cf.12",12,"9.45",,FALSO,FALSO,"SMR","N010",,
25215,15739,11699,"CBP012","Italy","Penne, accessori","Evidenziatori, marcatori","Marcatore perm. N50 p conica rosso cf.12","Marcatore perm. N50 p conica rosso cf.12",12,"9.45",,FALSO,FALSO,"SMR","N010",,
25216,15740,11700,"CBP013","Italy","Penne, accessori","Evidenziatori, marcatori","Marcatore perm. N50 p conica verde cf.12","Marcatore perm. N50 p conica verde cf.12",12,"8.99",,FALSO,FALSO,"SMR","N010",,
25217,15741,11701,"CBP014","Italy","Penne, accessori","Evidenziatori, marcatori","Marcatore Stabilo nero medio","Marcatore Stabilo nero medio",10,"6.30",,FALSO,FALSO,"SMR","N010",,
25218,15742,11702,"CBP015","Italy","Penne, accessori","Evidenziatori, marcatori","Tratto Pen Fila rosso","Tratto Pen Fila rosso",12,"4.92",,FALSO,FALSO,"SMR","N010",,
25219,15743,11703,"CBP016","Italy","Penne, accessori","Evidenziatori, marcatori","Tratto Pen Fila nero","Tratto Pen Fila nero",12,"4.68",,FALSO,FALSO,"SMR","N010",,
25220,15744,11704,"CBP017","Italy","Penne, accessori","Evidenziatori, marcatori","Tratto Pen Fila blu","Tratto Pen Fila blu",12,"4.68",,FALSO,FALSO,"SMR","N010",,
25221,15745,11705,"CBP018","Italy","Penne, accessori","Evidenziatori, marcatori","Tratto Pen Fila verde","Tratto Pen Fila verde",12,"4.92",,FALSO,FALSO,"SMR","N010",,
25222,15746,11706,"CBP019","Italy","Penne, accessori","Evidenziatori, marcatori","Marcatore Elica nero","Marcatore Elica nero",12,"6.60",,FALSO,FALSO,"SMR","N010",,
25223,15747,11707,"CBP020","Italy","Penne, accessori","Evidenziatori, marcatori","Marcatore Elica blu","Marcatore Elica blu",12,"6.60",,FALSO,FALSO,"SMR","N010",,
25224,15748,11708,"CBP021","Italy","Penne, accessori","Evidenziatori, marcatori","Marcatore Elica rosso","Marcatore Elica rosso",12,"6.60",,FALSO,FALSO,"SMR","N010",,
25225,15749,11709,"CBP022","Italy","Penne, accessori","Evidenziatori, marcatori","Marcatore Elica colori assortiti","Marcatore Elica colori assortiti",6,"4.65",,FALSO,FALSO,"SMR","N010",,
25226,15750,11710,"CBP023","Italy","Penne, accessori","Evidenziatori, marcatori","Marcatore Stabilo nero superfine","Marcatore Stabilo nero superfine",10,"6.30",,FALSO,FALSO,"SMR","N010",,
25227,15751,11711,"CBP024","Italy","Penne, accessori","Evidenziatori, marcatori","Pennarello lumocolor permanent nero","Pennarello lumocolor permanent nero",10,"8.06",,FALSO,FALSO,"SMR","N010",,
25228,15752,11712,"CBP025","Italy","Penne, accessori","Matite, portamine, acc","Matita Noris HB 2","Matita Noris HB 2 (confezione da 12 pezzi)",12,"3.53",,FALSO,FALSO,"SMR","N010",,
25229,15753,11713,"CBP026","Italy","Penne, accessori","Matite, portamine, acc","Matita con gommino","Matita con gommino",12,"1.63",,FALSO,FALSO,"SMR","N010",,
25230,15755,11715,"CBP028","Italy","Penne, accessori","Matite, portamine, acc","Portamine Elica 0,7","Portamine Elica 0,7",12,"4.20",,FALSO,FALSO,"SMR","N010",,
25231,15757,11717,"CBP030","Italy","Penne, accessori","Matite, portamine, acc","Astuccio mine Faber Castell 0,5mm","Astuccio mine Faber Castell 0,5mm",1,"0.26",,FALSO,FALSO,"SMR","N010",,
25232,15758,11718,"CBP031","Italy","Penne, accessori","Matite, portamine, acc","Gomma bianca Staedtler","Gomma bianca Staedtler",20,"8.02",,FALSO,FALSO,"SMR","N010",,
25233,15759,11719,"CBP032","Italy","Penne, accessori","Matite, portamine, acc","Matita 2HB","Matita 2HB",12,"0.85",,FALSO,FALSO,"SMR","N010",,
25234,15760,11720,"CBP033","Italy","Penne, accessori","Matite, portamine, acc","Astuccio mine 0,7mm","Astuccio mine 0,7mm",1,"0.26",,FALSO,FALSO,"SMR","N010",,
25235,15761,11721,"CBP034","Italy","Penne, accessori","Matite, portamine, acc","Gomma bianca Elica","Gomma bianca Elica",1,"0.33",,FALSO,FALSO,"SMR","N010",,
25236,15763,11723,"CBP036","Italy","Penne, accessori","Penne sfera","Penna a sfera Bic Cristal nero p.media","Penna a sfera Bic Cristal nero p.media cf.50",50,"7.05",,FALSO,FALSO,"SMR","N010",,
25237,15764,11724,"CBP037","Italy","Penne, accessori","Penne sfera","Penna a sfera Bic Cristal rosso p.media","Penna a sfera Bic Cristal rosso p.media cf.50",50,"4.99",,FALSO,FALSO,"SMR","N010",,
25238,15765,11725,"CBP038","Italy","Penne, accessori","Penne sfera","Penna a sfera Bic Cristal blu p.media","Penna a sfera Bic Cristal blu p.media cf.50",50,"7.05",,FALSO,FALSO,"SMR","N010",,
25239,15772,11732,"CBP045","Italy","Penne, accessori","Penne sfera","Penna a sfera Pentel Superb Blu (confezione da 12 pezzi)","Penna a sfera Pentel Superb Blu",12,"6.96",,FALSO,FALSO,"SMR","N010",,
25240,15773,11733,"CBP046","Italy","Penne, accessori","Penne sfera","Penna a sfera Pentel Superb Rosso (confezione da 12 pezzi)","Penna a sfera Pentel Superb Rosso",12,"6.96",,FALSO,FALSO,"SMR","N010",,
25241,15774,11734,"CBP047","Italy","Penne, accessori","Penne sfera","Penna a sfera Pentel Superb Nero (confezione da 12 pezzi)","Penna a sfera Pentel Superb Nero",12,"6.96",,FALSO,FALSO,"SMR","N010",,
25242,15775,11735,"CBP048","Italy","Penne, accessori","Penne sfera","Penna a sfera Pentel Superb Verde (confezione da 12 pezzi)","Penna a sfera Pentel Superb Verde",12,"6.84",,FALSO,FALSO,"SMR","N010",,
25243,15779,11739,"CBP052","Italy","Carta, buste","Blocchi, quaderni","Blocco A4 a quadretti 5mm","Blocco A4 a quadretti 5mm",5,"4.63",,FALSO,FALSO,"SMR","N010",,
25244,15780,11740,"CBP052","Italy","Penne, accessori","Penne sfera","Penna a sfera G2 scatto Pilot Blu (confezione da 12 pezzi)","Penna a sfera G2 scatto Pilot Blu",12,"11.70",,FALSO,FALSO,"SMR","N010",,
25245,15781,11741,"CBP053","Italy","Carta, buste","Blocchi, quaderni","Blocco A5 a quadretti 5mm","Blocco A5 a quadretti 5mm",5,"2.57",,FALSO,FALSO,"SMR","N010",,
25246,15782,11742,"CBP053","Italy","Penne, accessori","Penne sfera","Penna a sfera G2 scatto Pilot Rosso (confezione da 12 pezzi)","Penna a sfera G2 scatto Pilot Rosso",12,"11.70",,FALSO,VERO,"SMR","N010",,
25247,15783,11743,"CBP054","Italy","Carta, buste","Blocchi, quaderni","Quaderno A4 spirale a quadretti","Quaderno A4 spirale a quadretti",10,"9.50",,FALSO,FALSO,"SMR","N010",,
25248,15784,11744,"CBP054","Italy","Penne, accessori","Penne sfera","Penna a sfera G2 scatto Pilot Nero (confezione da 12 pezzi)","Penna a sfera G2 scatto Pilot Nero",12,"11.70",,FALSO,FALSO,"SMR","N010",,
25249,15785,11745,"CBP055","Italy","Carta, buste","Blocchi, quaderni","Blocco A4 bianco","Blocco A4 bianco",5,"4.90",,FALSO,FALSO,"SMR","N010",,
25250,15787,11747,"CBP056","Italy","Carta, buste","Blocchi, quaderni","Blocco A4 a righe","Blocco A4 a righe",5,"4.63",,FALSO,FALSO,"SMR","N010",,
25251,15788,11748,"CBP056","Italy","Penne, accessori","Penne sfera","Penna sfera Pilot Extra broad nero","Penna sfera Pilot Extra broad nero",12,"10.32",,FALSO,FALSO,"SMR","N010",,
25252,15789,11749,"CBP057","Italy","Carta, buste","Blocchi, quaderni","Quaderno A4 spirale a righe","Quaderno A4 spirale a righe",10,"9.50",,FALSO,FALSO,"SMR","N010",,
25253,15790,11750,"CBP057","Italy","Penne, accessori","Penne roller","Penna Roller Hi-Tecpoint V5 0,5mm blu (confezione da 12 pezzi)","Penna Roller Hi-Tecpoint V5 0,5mm blu (cf12)",12,"13.80",,FALSO,FALSO,"SMR","N010",,
25254,15792,11752,"CBP058","Italy","Penne, accessori","Penne roller","Penna Roller Hi-Tecpoint V5 0,5mm nero (confezione da 12 pezzi)","Penna Roller Hi-Tecpoint V5 0,5mm nero (cf12)",12,"13.80",,FALSO,FALSO,"SMR","N010",,
25255,15793,11753,"CBP059","Italy","Carta, buste","Blocchi, quaderni","Tavoletta portablocco blu","Tavoletta portablocco blu",1,"1.68",,FALSO,FALSO,"SMR","N010",,
25256,15794,11754,"CBP059","Italy","Penne, accessori","Penne roller","Penna Roller Hi-Tecpoint V5 0,5mm rosso (confezione da 12 pezzi)","Penna Roller Hi-Tecpoint V5 0,5mm rosso (cf12)",12,"13.80",,FALSO,VERO,"SMR","N010",,
25257,15795,11755,"CBP060","Italy","Carta, buste","Blocchi, quaderni","Tavoletta portablocco rosso","Tavoletta portablocco rosso",1,"1.68",,FALSO,FALSO,"SMR","N010",,
25258,15796,11756,"CBP060","Italy","Penne, accessori","Penne roller","Roller Bionic Worker blu","Roller Bionic Worker blu",10,"14.30",,FALSO,FALSO,"SMR","N010",,
25259,15797,11757,"CBP061","Italy","Carta, buste","Blocchi, quaderni","Quaderno monocromo A4 quadretti","Quaderno monocromo A4 quadretti",10,"5.80",,FALSO,FALSO,"SMR","N010",,
