"ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo","Photo",,"Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
"CBP001","Italy","Penne, accessori","Correttori","Correttore a nastro","Correttore a nastro",1,"1.41","Correttore-a-nastro.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP002","Italy","Penne, accessori","Correttori","Corr. liquido Multifluid 20 ml.","Corr. liquido Multifluid 20 ml.",1,"0.44","Corr.-liquido-Multifluid-20-ml.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP003","Italy","Penne, accessori","Correttori","Correttore a penna","Correttore a penna",1,"2.52","Correttore-a-penna.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP004","Italy","Penne, accessori","Evidenziatori, marcatori","Evidenziatore verde","Evidenziatore verde",10,"0.95","Evidenziatore.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP005","Italy","Penne, accessori","Evidenziatori, marcatori","Evidenziatore giallo","Evidenziatore giallo",10,"0.95","Evidenziatore.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP006","Italy","Penne, accessori","Evidenziatori, marcatori","Evidenziatore colori assortiti","Evidenziatore colori assortiti",6,"1.54","Evidenziatore-colori-assortiti-.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP007","Italy","Penne, accessori","Evidenziatori, marcatori","Evidenziatore arancio","Evidenziatore arancio",10,"0.95","Evidenziatore.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP008","Italy","Penne, accessori","Evidenziatori, marcatori","Evidenziatore blu","Evidenziatore blu",10,"0.95","Evidenziatore.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP009","Italy","Penne, accessori","Evidenziatori, marcatori","Evidenziatore rosa","Evidenziatore rosa",10,"0.95","Evidenziatore.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP010","Italy","Penne, accessori","Evidenziatori, marcatori","Marcatore perm. N50 p conica nero cf.12","Marcatore perm. N50 p conica nero cf.12",12,"9.45","Marcatore-perm.-N50-p-conica-cf.12.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP011","Italy","Penne, accessori","Evidenziatori, marcatori","Marcatore perm. N50 p conica blu cf.12","Marcatore perm. N50 p conica blu cf.12",12,"9.45","Marcatore-perm.-N50-p-conica-cf.12.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP012","Italy","Penne, accessori","Evidenziatori, marcatori","Marcatore perm. N50 p conica rosso cf.12","Marcatore perm. N50 p conica rosso cf.12",12,"9.45","Marcatore-perm.-N50-p-conica-cf.12.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP013","Italy","Penne, accessori","Evidenziatori, marcatori","Marcatore perm. N50 p conica verde cf.12","Marcatore perm. N50 p conica verde cf.12",12,"8.99","Marcatore-perm.-N50-p-conica-cf.12.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP014","Italy","Penne, accessori","Evidenziatori, marcatori","Marcatore Stabilo nero medio","Marcatore Stabilo nero medio",10,"6.30","Marcatore-Stabilo-nero-medio.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP015","Italy","Penne, accessori","Evidenziatori, marcatori","Tratto Pen Fila rosso","Tratto Pen Fila rosso",12,"4.92","Tratto-Pen-Fila.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP016","Italy","Penne, accessori","Evidenziatori, marcatori","Tratto Pen Fila nero","Tratto Pen Fila nero",12,"4.68","Tratto-Pen-Fila.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP017","Italy","Penne, accessori","Evidenziatori, marcatori","Tratto Pen Fila blu","Tratto Pen Fila blu",12,"4.68","Tratto-Pen-Fila.jpg",,FALSO,FALSO,"SMR","N010",,
