"ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo","Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
"MU001","Italy","Macchine elettrici e accessori","Calcolatrici e ricambi","Calcolatrice a 12 cifre","Calcolatrice a 12 cifre",1,"9.50",FALSO,FALSO,"SMR","N010",,
"MU002","Italy","Macchine elettrici e accessori","Calcolatrici e ricambi","Calcolatrice scrivente euro 12 cifre Casio HR-8TER","Calcolatrice scrivente euro 12 cifre Casio HR-8TER",1,"16.50",FALSO,FALSO,"SMR","N010",,
"MU003","Italy","Macchine elettrici e accessori","Calcolatrici e ricambi","Calcolatrice scrivente HR 150 TER di CASIO","Calcolatrice scrivente HR 150 TER di CASIO",1,"28.46",FALSO,FALSO,"SMR","N010",,
"MU004","Italy","Macchine elettrici e accessori","Calcolatrici e ricambi","Tampone inchiostro Olivetti Logos 692","Tampone inchiostro Olivetti Logos 692",1,"2.51",FALSO,FALSO,"SMR","N010",,
"MU005","Italy","Macchine elettrici e accessori","Cucitrici elettriche","Cucitrice elettrica a batteria","Cucitrice elettrica a batteria",1,"15.70",FALSO,FALSO,"SMR","N010",,
"MU006","Italy","Macchine elettrici e accessori","Plastificatrici e ricambi","Plastificatrice H210","Plastificatrice da scrivania",1,"94.50",FALSO,FALSO,"SMR","N010",,
"MU007","Italy","Macchine elettrici e accessori","Plastificatrici e ricambi","Pouches A4 125 micron","Pouches A4 125 micron (100pz)",100,"14.96",FALSO,FALSO,"SMR","N010",,
"MU008","Italy","Macchine elettrici e accessori","Plastificatrici e ricambi","Plastificatrice A4/A3 Mars fellowes","Plastificatrice A4/A3 Mars fellowes",1,"55.44",FALSO,FALSO,"SMR","N010",,
"MU009","Italy","Macchine elettrici e accessori","Plastificatrici e ricambi","Pouches A3 125 micron","Pouches A3 125 micron",100,"29.48",FALSO,FALSO,"SMR","N010",,
"MU010","Italy","Macchine elettrici e accessori","Rotoli carta termica","Rotolo carta termica calcolatrici mm 57x35mt","Rotolo carta termica calcolatrici mm 57x35mt sc.10",10,"2.51",FALSO,FALSO,"SMR","N010",,
"MU011","Italy","Macchine elettrici e accessori","Rotoli carta termica","Rotolo carta termica calcolatrici mm 60x35mt","Rotolo carta termica calcolatrici mm 60x35mt sc.10",10,"2.51",FALSO,FALSO,"SMR","N010",,
"MU012","Italy","Macchine elettrici e accessori","Rotoli carta termica","Rotolo per calcolatrice carta normale mm 57","Rotolo per calcolatrice carta normale mm 57",10,"1.08",FALSO,FALSO,"SMR","N010",,
"MU013","Italy","Macchine elettrici e accessori","Rotoli carta termica","Rotolo di carta termica per fax 210x15x12","Rotolo di carta termica per fax 210x15x12",6,"5.34",FALSO,FALSO,"SMR","N010",,
"MU014","Italy","Macchine elettrici e accessori","Rotoli carta termica","Rotolo carta termica 80x80x12","Rotolo carta termica 80x80x12",5,"6.30",FALSO,FALSO,"SMR","N010",,
"MU015","Italy","Macchine elettrici e accessori","Batterie ed accessori","Pila ministilo AAA","Pila ministilo AAA",4,"2.35",FALSO,FALSO,"SMR","N010",,
"MU016","Italy","Macchine elettrici e accessori","Batterie ed accessori","Pila Stilo AA","Pila Stilo AA",4,"2.17",FALSO,FALSO,"SMR","N010",,
"MU017","Italy","Macchine elettrici e accessori","Batterie ed accessori","Pila 1/2 torcia","Pila 1/2 torcia",2,"2.60",FALSO,FALSO,"SMR","N010",,
"MU018","Italy","Macchine elettrici e accessori","Batterie ed accessori","Pila torcia","Pila torcia",2,"3.98",FALSO,FALSO,"SMR","N010",,
"MU019","Italy","Macchine elettrici e accessori","Batterie ed accessori","Pila rettangolare 9 volt","Pila rettangolare 9 volt",1,"2.24",FALSO,FALSO,"SMR","N010",,
"MU020","Italy","Macchine elettrici e accessori","Batterie ed accessori","Pila ricaricabile AAA ministilo","Pila ricaricabile AAA ministilo (4 pezzi)",4,"7.67",FALSO,FALSO,"SMR","N010",,
