"ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo","Photo","Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
"PP001","Italy","Prodotti promozionali","SOL","Bottiglie d'acqua con marchio SOL (cestello da 6 pezzi)","acquaSOL",1,"5.00",,FALSO,FALSO,"SMR","N016",,
"PP002","Italy","Prodotti promozionali","SOL","Ombrellino con marchio SOL","ombrellino SOL",1,"3.00",,FALSO,FALSO,"SMR","N016",,
"PP003","Italy","Prodotti promozionali","SOL","Penna Balestra","penna Balestra SOL",1,"8.00",,FALSO,FALSO,"SMR","N016",,
"PP004","Italy","Prodotti promozionali","SOL","Porta pass con marchio SOL","porta pass SOL",1,"1.40",,FALSO,FALSO,"SMR","N016",,
"PP005","Italy","Prodotti promozionali","SOL","Blocco note con marchio SOL","Block notes SOL",1,"1.30",,FALSO,FALSO,"SMR","N016",,
"PP006","Italy","Prodotti promozionali","SOL","Penna di plastica con marchio SOL","penna economica SOL",1,"0.35",,FALSO,FALSO,"SMR","N016",,
"PP007","Italy","Prodotti promozionali","SOL","Logo SOL adesivo 18x14 cm","Logo SOL adesivo 18x14 cm",1,"1.00","Logo-SOL.jpg",FALSO,FALSO,"SMR","N016",,
"PP008","Italy","Prodotti promozionali","SOL","Logo SOL adesivo 26x21 cm","Logo SOL adesivo 26x21 cm",1,"1.20","Logo-SOL.jpg",FALSO,FALSO,"SMR","N016",,
"PP009","Italy","Prodotti promozionali","SOL","Logo SOL adesivo 4x3.5 cm","Logo SOL adesivo 4x3.5 cm",1,"0.10","Logo-SOL.jpg",FALSO,FALSO,"SMR","N016",,
"PP010","Italy","Prodotti promozionali","SOL","Logo SOL adesivo 6x5 cm","Logo SOL adesivo 6x5 cm",1,"0.20","Logo-SOL.jpg",FALSO,FALSO,"SMR","N016",,
"PP011","Italy","Prodotti promozionali","SOL","Logo SOL adesivo 12x10 cm","Logo SOL adesivo 12x10 cm",1,"0.50","Logo-SOL.jpg",FALSO,FALSO,"SMR","N016",,
"PP012","Italy","Prodotti promozionali","SOL","Logo SOL prespaziato 60x47 cm","Logo SOL prespaziato 60x47 cm",1,"20.00","Logo-SOL.jpg",FALSO,FALSO,"SMR","N016",,
"PP013","Italy","Prodotti promozionali","SOL","Logo SOL prespaziato 90x70 cm","Logo SOL prespaziato 90x70 cm",1,"35.00","Logo-SOL.jpg",FALSO,FALSO,"SMR","N016",,
"PP014","Italy","Prodotti promozionali","SOL","Logo SOL prespaziato 120x93 cm","Logo SOL prespaziato 120x93 cm",1,"53.00","Logo-SOL.jpg",FALSO,FALSO,"SMR","N016",,
"PP015","Italy","Prodotti promozionali","SOL","Logo SolAir 24x20 cm","Logo SolAir 24x20 cm",1,"100","Logo-SolAir-24x20-cm.jpg",FALSO,FALSO,"SMR","N016",,
"PP016","Italy","Prodotti promozionali","SOL","Mouse portatile","Mouse portatile",1,"1500",,FALSO,FALSO,"SMR","N016",,
"PP017","Italy","Prodotti promozionali","SOL","Logo SolMedical 10x3 cm","Logo SolMedical 10x3 cm",1,"20","Logo-SolMedical.jpg",FALSO,FALSO,"SMR","N016",,
"PP018","Italy","Prodotti promozionali","SOL","Logo SolMedical 12x10 cm","Logo SolMedical 12x10 cm",1,"50","Logo-SolMedical-cm.jpg",FALSO,FALSO,"SMR","N016",,
"PP019","Italy","Prodotti promozionali","SOL","Portabiglietti","Portabiglietti",1,"250",,FALSO,FALSO,"SMR","N016",,
"PP020","Italy","Prodotti promozionali","SOL","Logo SolMedical 15x4.5 cm","Logo SolMedical 15x4.5 cm",1,"30","Logo-SolMedical.jpg",FALSO,FALSO,"SMR","N016",,
"PP021","Italy","Prodotti promozionali","SOL","Logo SolMedical 20x6 cm","Logo SolMedical 20x6 cm",1,"50","Logo-SolMedical.jpg",FALSO,FALSO,"SMR","N016",,
"PP022","Italy","Prodotti promozionali","SOL","Logo SolMedical 24x20 cm","Logo SolMedical 24x20 cm",1,"100","Logo-SolMedical-cm.jpg",FALSO,FALSO,"SMR","N016",,
"PP023","Italy","Prodotti promozionali","SOL","Logo SolMedical negativo 4.5x1.2 cm","Logo SolMedical negativo 4.5x1.2 cm",1,"15","Logo-SolMedical-negativo.jpg",FALSO,FALSO,"SMR","N016",,
"PP024","Italy","Prodotti promozionali","SOL","Logo SolMedical negativo 10x3 cm","Logo SolMedical negativo 10x3 cm",1,"20","Logo-SolMedical-negativo.jpg",FALSO,FALSO,"SMR","N016",,
"PP025","Italy","Prodotti promozionali","SOL","Logo SolMedical negativo 15x4.5 cm","Logo SolMedical negativo 15x4.5 cm",1,"30","Logo-SolMedical-negativo.jpg",FALSO,FALSO,"SMR","N016",,
"PP026","Italy","Prodotti promozionali","SOL","Logo SolMedical negativo 20x6 cm","Logo SolMedical negativo 20x6 cm",1,"50","Logo-SolMedical-negativo.jpg",FALSO,FALSO,"SMR","N016",,
"PP027","Italy","Prodotti promozionali","SOL","Chiave USB 1 GB","Chiave USB 1 GB",1,"1100",,FALSO,FALSO,"SMR","N016",,
"PP028","Italy","Prodotti promozionali","SOL","Borsa plastificata","Borsa plastificata",1,"200",,FALSO,FALSO,"SMR","N016",,
