"ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo","Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
"PP001","Italy","Prodotti promozionali SOL","Prodotti promozionali","Bottiglie d'acqua con marchio SOL (cestello da 6 pezzi)","acquaSOL",,"5.00",FALSO,FALSO,"SMR","N016",,
"PP002","Italy","Prodotti promozionali SOL","Prodotti promozionali","Prodotti promozionali SOL","Prodotti promozionali SOL",,,FALSO,FALSO,"SMR","N016",,
"PP003","Italy","Prodotti promozionali SOL","Prodotti promozionali","Ombrellino con marchio SOL","ombrellino SOL",,"3.00",FALSO,FALSO,"SMR","N016",,
"PP004","Italy","Prodotti promozionali SOL","Prodotti promozionali","Mouse con marchio SOL","mouse SOL",,"3.00",FALSO,VERO,"SMR","N016",,
"PP005","Italy","Prodotti promozionali SOL","Prodotti promozionali","Portachiavi azzurro","portachiavi SOL",1,"2.00",FALSO,VERO,"SMR","N016",,
"PP006","Italy","Prodotti promozionali SOL","Prodotti promozionali","Penna Balestra","penna Balestra SOL",,"8.00",FALSO,FALSO,"SMR","N016",,
"PP007","Italy","Prodotti promozionali SOL","Prodotti promozionali","Cartelletta portadocumenti con marchio SOL","cartelletta SOL",1,"3.00",FALSO,VERO,"SMR","N016",,
"PP008","Italy","Prodotti promozionali SOL","Prodotti promozionali","Porta pass con marchio SOL","porta pass SOL",,"1.40",FALSO,FALSO,"SMR","N016",,
"PP009","Italy","Prodotti promozionali SOL","Prodotti promozionali","Blocco note con marchio SOL","Block notes SOL",,"1.30",FALSO,FALSO,"SMR","N016",,
"PP010","Italy","Prodotti promozionali SOL","Prodotti promozionali","Penna di plastica con marchio SOL","penna economica SOL",,"0.35",FALSO,FALSO,"SMR","N016",,
"PP011","Italy","Prodotti promozionali SOL","Prodotti promozionali","Penna blu SOL","Penna blu SOL",,"1.70",FALSO,VERO,"SMR","N016",,
"PP012","Italy","Prodotti promozionali SOL","Prodotti promozionali","Logo SOL adesivo 18x14 cm","Logo SOL adesivo 18x14 cm",,"1.00",FALSO,FALSO,"SMR","N016",,
"PP013","Italy","Prodotti promozionali SOL","Prodotti promozionali","Logo SOL adesivo 26x21 cm","Logo SOL adesivo 26x21 cm",,"1.20",FALSO,FALSO,"SMR","N016",,
"PP014","Italy","Prodotti promozionali SOL","Prodotti promozionali","Logo SOL adesivo 4x3.5 cm","Logo SOL adesivo 4x3.5 cm",,"0.10",FALSO,FALSO,"SMR","N016",,
"PP015","Italy","Prodotti promozionali SOL","Prodotti promozionali","Logo SOL adesivo 6x5 cm","Logo SOL adesivo 6x5 cm",,"0.20",FALSO,FALSO,"SMR","N016",,
"PP016","Italy","Prodotti promozionali SOL","Prodotti promozionali","Logo SOL adesivo 12x10 cm","Logo SOL adesivo 12x10 cm",,"0.50",FALSO,FALSO,"SMR","N016",,
"PP017","Italy","Prodotti promozionali SOL","Prodotti promozionali","Logo SOL prespaziato 60x47 cm","Logo SOL prespaziato 60x47 cm",,"20.00",FALSO,FALSO,"SMR","N016",,
"PP018","Italy","Prodotti promozionali SOL","Prodotti promozionali","Logo SOL prespaziato 90x70 cm","Logo SOL prespaziato 90x70 cm",,"35.00",FALSO,FALSO,"SMR","N016",,
"PP019","Italy","Prodotti promozionali SOL","Prodotti promozionali","Logo SOL prespaziato 120x93 cm","Logo SOL prespaziato 120x93 cm",,"53.00",FALSO,FALSO,"SMR","N016",,
"PP020","Italy","Prodotti promozionali SOL","Prodotti promozionali","Documenti di trasporto","Documenti di trasporto",,,FALSO,FALSO,"SMR","N018",,
"PP021","Italy","Prodotti promozionali SOL","Prodotti promozionali","Documenti di trasporto SOL","Documenti di trasporto SOL",,,FALSO,FALSO,"SMR","N010",,
"PP022","Italy","Prodotti promozionali SOL","Prodotti promozionali","Portapenne e portafoto","Portapenne e portafoto",1,"7.00",FALSO,VERO,"SMR","N016",,
