"ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo","Photo","Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
"PUB003","Italy","Pubblicazioni","Depliant","Depliant VIVISOL ""Informativa attivazione servizio per Aereosolterapia domiciliare - Fibrosi cistica""","Depliant VIVISOL ""Informativa Fibrosi cistica""",20,"12.00","Depliant-VIVISOL_Informativa-attivazione-servizio-per-Aereosolterapia-domiciliare---Fibrosi-cistica.jpg","FALSO","FALSO","DIEV","N017","FALSO","FALSO"
"PUB004","Italy","Pubblicazioni","Libri, monografie","Guida tascabile per lo pneumologo","Guida tascabile per lo pneumologo",1,"10.00","Guida-tascabile-per-lo-pneumologo.jpg","FALSO","FALSO","SMR","N018","FALSO","FALSO"
"PUB005","Italy","Pubblicazioni","Libri, monografie","Diagnosi di sindrome delle apnee ostruttive durante il sonno e i relativi outcome tramite monitoraggio portatile domiciliare - Tonelli, Martinez et al. CHEST 2009 Edizione Italiana","Diagnosi di sindrome delle apnee [...]",1,"11.00","Diagnosi-di-sindrome-delle-apnee-ostruttive-durante-il-sonno-e-i-relativi-outcome-tramite-monitoraggio-portatile-domiciliare.jpg","FALSO","FALSO","DIEV","N018","FALSO","FALSO"
"PUB006","Italy","Pubblicazioni","Libri, monografie","Diagnosis of Obstructive Sleep Apnea Syndrome and Its Outcomes With Home Portable Monitoring - Tonelli, Martinez et al CHEST 2009 English Version","Diagnosis of Obstructive Sleep Apnea Syndrome [...]",1,"11.00","Diagnosis-of-Obstructive-Sleep-Apnea-Syndrome-and-Its-Outcomes-With-Home-Portable-Monitoring.jpg","FALSO","FALSO","DIEV","N018","FALSO","FALSO"
"PUB007","Italy","Pubblicazioni","Libri, monografie","Riabilitazione respiratoria spiegata alle persone in ossigenoterapia a lungo termine","Riabilitazione respiratoria a persone in OTD",1,"5.00","Riabilitazione-respiratoria-spiegata-alle-persone-in-ossigenoterapia-a-lungo-termine.jpg","FALSO","FALSO","DIEV","N018","FALSO","FALSO"
"PUB008","Italy","Pubblicazioni","Libri, monografie","Valutazione e trattamento delle malattie neuromuscolari e malattia del motoneurone in ambito pneumologico","Valutazione delle malattie neuromuscolari",1,"15.00","Valutazione-e-trattamento-delle-malattie-neuromuscolari-e-malattia-del-motoneurone-in-ambito-pneumologico.jpg","FALSO","FALSO","SMR","N018","FALSO","FALSO"
"PUB009","Italy","Pubblicazioni","Libri, monografie","Brochure in A3 con presentazione e storia della società e descrizione delle diverse linee di servizio","Brochure presentazione VIVISOL in italiano",1,"0.49","Brochure-in-A3-con-presentazione-e-storia-della-societa-e-descrizione-delle-diverse-linee-di-servizio.jpg","FALSO","FALSO","DIEV","N018","FALSO","FALSO"
"PUB010","Italy","Pubblicazioni","Libretti paziente","Penox - Manuale dell'operatore","Penox - Manuale dell'operatore",1,"0.50","Penox---Manuale-dell'operatore.jpg","FALSO","FALSO","SMR","N010","FALSO","FALSO"
"PUB013","Italy","Pubblicazioni","Libretti paziente","Bombole di ossigeno terapeutico: opuscolo per il paziente","Manuale bb O2 FU",1,"0.40","Bombole-di-ossigeno-terapeutico--opuscolo-per-il-paziente.jpg","FALSO","FALSO","SMR","N010","FALSO","FALSO"
"PUB014","Italy","Pubblicazioni","Libretti paziente","Concentratori Criterion Timeter e BX5000 Penox: manuale d'uso","Manuali conc. Penox",1,"0.40","Concentratori-Criterion-Timeter-e-BX5000-Penox--manuale-d'uso.jpg","FALSO","FALSO","SMR","N010","FALSO","FALSO"
"PUB015","Italy","Pubblicazioni","Libretti paziente","Concentratore NewLife Airsep: manuale d'uso","Manuale Newlife Airsep",1,"0.40","Concentratore-NewLife_Elite_-Airsep--manuale-d'uso.jpg","FALSO","FALSO","SMR","N010","FALSO","FALSO"
