"Object","ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo","Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
12485,"PUB003","Italy","Pubblicazioni","Depliant","Depliant VIVISOL ""Informativa attivazione servizio per Aereosolterapia domiciliare - Fibrosi cistica""","Depliant VIVISOL ""Informativa Fibrosi cistica""",20,"12.00",FALSO,FALSO,"DIEV","N017",FALSO,FALSO
12493,"PUB004","Italy","Pubblicazioni","Libri, monografie","Guida tascabile per lo pneumologo","Guida tascabile per lo pneumologo",1,"10.00",FALSO,FALSO,"SMR","N018",FALSO,FALSO
12494,"PUB005","Italy","Pubblicazioni","Libri, monografie","Diagnosi di sindrome delle apnee ostruttive durante il sonno e i relativi outcome tramite monitoraggio portatile domiciliare - Tonelli, Martinez et al. CHEST 2009 Edizione Italiana","Diagnosi di sindrome delle apnee [...]",1,"11.00",FALSO,FALSO,"DIEV","N018",FALSO,FALSO
12495,"PUB006","Italy","Pubblicazioni","Libri, monografie","Diagnosis of Obstructive Sleep Apnea Syndrome and Its Outcomes With Home Portable Monitoring - Tonelli, Martinez et al CHEST 2009 English Version","Diagnosis of Obstructive Sleep Apnea Syndrome [...]",1,"11.00",FALSO,FALSO,"DIEV","N018",FALSO,FALSO
12496,"PUB007","Italy","Pubblicazioni","Libri, monografie","Riabilitazione respiratoria spiegata alle persone in ossigenoterapia a lungo termine","Riabilitazione respiratoria a persone in OTD",1,"5.00",FALSO,FALSO,"DIEV","N018",FALSO,FALSO
12497,"PUB008","Italy","Pubblicazioni","Libri, monografie","Valutazione e trattamento delle malattie neuromuscolari e malattia del motoneurone in ambito pneumologico","Valutazione delle malattie neuromuscolari",1,"15.00",FALSO,FALSO,"SMR","N018",FALSO,FALSO
12498,"PUB009","Italy","Pubblicazioni","Libri, monografie","Brochure in A3 con presentazione e storia della società e descrizione delle diverse linee di servizio","Brochure presentazione VIVISOL in italiano",1,"0.49",FALSO,FALSO,"DIEV","N018",FALSO,FALSO
12499,"PUB010","Italy","Pubblicazioni","Libretti paziente","Penox - Manuale dell'operatore","Penox - Manuale dell'operatore",1,"0.50",FALSO,FALSO,"SMR","N010",FALSO,FALSO
12502,"PUB013","Italy","Pubblicazioni","Libretti paziente","Bombole di ossigeno terapeutico: opuscolo per il paziente","Manuale bb O2 FU",1,"0.40",FALSO,FALSO,"SMR","N010",FALSO,FALSO
12503,"PUB014","Italy","Pubblicazioni","Libretti paziente","Concentratori Criterion Timeter e BX5000 Penox: manuale d'uso","Manuali conc. Penox",1,"0.40",FALSO,FALSO,"SMR","N010",FALSO,FALSO
12504,"PUB015","Italy","Pubblicazioni","Libretti paziente","Concentratore NewLife Airsep: manuale d'uso","Manuale Newlife Airsep",1,"0.40",FALSO,FALSO,"SMR","N010",FALSO,FALSO
12505,"PUB016","Italy","Pubblicazioni","Libretti paziente","Concentratore NewLife ""Elite"" Airsep: manuale d'uso","Concentratore NewLife ""Elite"" Airsep: manuale d'uso",1,"0.25",FALSO,FALSO,"SMR","N010",FALSO,FALSO
12506,"PUB017","Italy","Pubblicazioni","Libretti paziente","Per vivere meglio in ossigeno","Per vivere meglio in ossigeno",1,"0.00",FALSO,FALSO,"DIEV","N010",FALSO,FALSO
12507,"PUB018","Italy","Pubblicazioni","Libretti paziente","Liberator/Low loss: istruzioni di funzionamento per il paziente","Liberator/Low loss: istruzioni per il paziente",1,"0.40",FALSO,FALSO,"SMR","N010",FALSO,FALSO
12508,"PUB019","Italy","Pubblicazioni","Libretti paziente","Stroller/Sprint: istruzioni di funzionamento per il paziente","Stroller/Sprint: istruzioni per il paziente",1,"0.40",FALSO,FALSO,"SMR","N010",FALSO,FALSO
12509,"PUB020","Italy","Documenti di trasporto","Doc trasporto ICOA","Mod. TE - 06/2005: Modulo continuo per terminalino Efeso (cod. ICO/8115/TE)","cod. ICO/8115/TE",,"0.14",FALSO,FALSO,"SMP","N010",,
12510,"PUB021","Italy","Documenti di trasporto","Doc trasporto ICOA","Mod. NC - 06/2005: Nota di consegna in blocco da 50 fogli (cod. ICO/832/NC)","cod. ICO/832/NC",,"3.40",FALSO,FALSO,"SMP","N010",,
12511,"PUB022","Italy","Documenti di trasporto","Doc trasporto ICOA","Mod. F - 06/2005: Documento di trasporto F in blocco da 50 fogli (cod. ICO/832/F)","cod. ICO/832/F",,"3.90",FALSO,FALSO,"SMP","N010",,
12512,"PUB023","Italy","Documenti di trasporto","Doc trasporto ICOA","Mod. D - 11/2005: Documento di trasporto/fattura continuo (cod. ICO/1224/D)","cod. ICO/1224/D",,"0.23",FALSO,FALSO,"SMP","N010",,
12513,"PUB024","Italy","Documenti di trasporto","Doc trasporto ICOA","Mod. EL - 06/2005: Documento di accompagnamento in tentata vendita per liquidi in blocco da 50 fogli (cod. ICO/821/EL)","cod. ICO/821/EL",,"4.40",FALSO,FALSO,"SMP","N010",,
12514,"PUB025","Italy","Documenti di trasporto","Doc trasp SOL","Mod. TE - 06/2005: Modulo continuo per terminalino Efeso (cod. SOL/8115/TE)","cod. SOL/8115/TE",,"0.14",FALSO,FALSO,"CLI","N010",,
12515,"PUB026","Italy","Documenti di trasporto","Doc trasp SOL","Mod. NC - 06/2005: Nota di consegna in blocco da 50 fogli (cod. SOL/832/NC)","cod. SOL/832/NC",,"3.40",FALSO,FALSO,"CLI","N010",,
12516,"PUB027","Italy","Documenti di trasporto","Doc trasp SOL","Mod. F - 06/2005: Documento di trasporto F (cod. SOL/832/F)","cod. SOL/832/F",50,"3.90",FALSO,FALSO,"CLI","N010",,
12517,"PUB028","Italy","Documenti di trasporto","Doc trasp SOL","Mod. D - 11/2005: Documento di trasporto/fattura continuo (cod. SOL/1224/D)","cod. SOL/1224/D",,"0.23",FALSO,FALSO,"CLI","N010",,
12518,"PUB029","Italy","Documenti di trasporto","Doc trasp SOL","Mod. EL - 06/2005: Documento di accompagnamento in tentata vendita per liquidi (cod. SOL/821/EL)","cod. SOL/821/EL",50,"4.40",FALSO,FALSO,"CLI","N010",,
12519,"PUB030","Italy","Documenti di trasporto","Doc trasp SOL","Mod. EC - 06/2005: Documento di accompagnamento in tentata vendita per compressi (cod. SOL/923/EC)","cod. SOL/923/EC",50,"5.50",FALSO,FALSO,"CLI","N010",,
12520,"PUB031","Italy","Documenti di trasporto","Doc trasp SOL","Mod. PVC - 06/2005: Programma di viaggio per compressi (cod. SOL/825/PVC)","cod. SOL/825/PVC",50,"3.15",FALSO,FALSO,"CLI","N010",,
12521,"PUB032","Italy","Documenti di trasporto","Doc trasp ViviSol Cal","Mod. NC - 06/2005: Nota di consegna (cod. VCA/832/NC)","cod. VCA/832/NC",50,"4.25",FALSO,FALSO,"SMP","N010",,
12522,"PUB033","Italy","Documenti di trasporto","Doc trasp ViviSol Cal","Mod. PVC - 06/2005: Programma di viaggio (cod. VCA/825/PVC)","cod. VCA/825/PVC",50,"3.70",FALSO,FALSO,"SMP","N010",,
