"ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo","Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
"PUB001","Italy","Pubblicazioni","Depliant","Depliant VIVISOL ""Diamo respiro alle vostre esigenze"" (confezione da 125 pezzi)","Depliant VIV ""diamo respiro…""",1,"963.75",FALSO,VERO,"SMR","N017",FALSO,FALSO
"PUB002","Italy","Pubblicazioni","Depliant","Depliant VIVISOL ""Diamo respiro alle vostre esigenze"" (confezione da 250 pezzi)","Depliant VIV ""diamo respiro…"" 250 pz",,"1927.50",FALSO,VERO,"SMR","N017",FALSO,FALSO
"PUB003","Italy","Pubblicazioni","Depliant","Depliant VIVISOL ""Informativa attivazione servizio per Aereosolterapia domiciliare - Fibrosi cistica""","Depliant VIVISOL ""Informativa Fibrosi cistica""",20,"12.00",FALSO,FALSO,"DIEV","N017",FALSO,FALSO
"PUB004","Italy","Pubblicazioni","Libri e monografie","Il medico di dio - Ed. Midia","Il medico di dio - Ed. Midia",1,"0.00",FALSO,VERO,"DIEV","N018",FALSO,FALSO
"PUB005","Italy","Pubblicazioni","Libri e monografie","Le desaturazioni non apneiche durante il sonno in differenti patologie","Le desaturazioni non apneiche durante il sonno",1,"0.00",FALSO,VERO,"DIEV","N018",FALSO,FALSO
"PUB006","Italy","Pubblicazioni","Libri e monografie","I dispositivi medici nei principali paesi europei - Ed. Kappadue","I dispositivi medici nei principali paesi europei",1,"0.00",FALSO,VERO,"DIEV","N018",FALSO,FALSO
"PUB007","Italy","Pubblicazioni","Libri e monografie","Disturbi respiratori nel sonno: non solo OSAS - Levante Editori","Disturbi respiratori nel sonno: non solo OSAS",1,"0.00",FALSO,VERO,"DIEV","N018",FALSO,FALSO
"PUB008","Italy","Pubblicazioni","Libri e monografie","Le ipossiemie notturne non apneiche - Levante Editori","Le ipossiemie notturne non apneiche - Levante Editori",1,"0.00",FALSO,VERO,"SMP","N018",FALSO,FALSO
"PUB009","Italy","Pubblicazioni","Libri e monografie","Ossigenoterapia a lungo termine domiciliare - Ed. Minerva Medica","Ossigenoterapia a lungo termine domiciliare",1,"0.00",FALSO,VERO,"DIEV","N018",FALSO,FALSO
"PUB010","Italy","Pubblicazioni","Libri e monografie","La ventilazione non-invasiva in terapia respiratoria - Ed. Midia","La ventilazione non-invasiva in terapia respiratoria",1,"0.00",FALSO,VERO,"DIEV","N018",FALSO,FALSO
"PUB011","Italy","Pubblicazioni","Libri e monografie","Guida tascabile per lo pneumologo","Guida tascabile per lo pneumologo",1,"10.00",FALSO,FALSO,"SMR","N018",FALSO,FALSO
"PUB012","Italy","Pubblicazioni","Libri e monografie","Diagnosi di sindrome delle apnee ostruttive durante il sonno e i relativi outcome tramite monitoraggio portatile domiciliare - Tonelli, Martinez et al. CHEST 2009 Edizione Italiana","Diagnosi di sindrome delle apnee [...]",1,"11.00",FALSO,FALSO,"DIEV","N018",FALSO,FALSO
"PUB013","Italy","Pubblicazioni","Libri e monografie","Diagnosis of Obstructive Sleep Apnea Syndrome and Its Outcomes With Home Portable Monitoring - Tonelli, Martinez et al CHEST 2009 English Version","Diagnosis of Obstructive Sleep Apnea Syndrome [...]",1,"11.00",FALSO,FALSO,"DIEV","N018",FALSO,FALSO
"PUB014","Italy","Pubblicazioni","Libri e monografie","Riabilitazione respiratoria spiegata alle persone in ossigenoterapia a lungo termine","Riabilitazione respiratoria a persone in OTD",1,"5.00",FALSO,FALSO,"DIEV","N018",FALSO,FALSO
"PUB015","Italy","Pubblicazioni","Libri e monografie","Valutazione e trattamento delle malattie neuromuscolari e malattia del motoneurone in ambito pneumologico","Valutazione delle malattie neuromuscolari",1,"15.00",FALSO,FALSO,"SMR","N018",FALSO,FALSO
"PUB016","Italy","Pubblicazioni","Libri e monografie","Brochure in A3 con presentazione e storia della società e descrizione delle diverse linee di servizio","Brochure presentazione VIVISOL in italiano",1,"0.49",FALSO,FALSO,"DIEV","N018",FALSO,FALSO
"PUB017","Italy","Pubblicazioni","Libretti per il paziente","Penox - Manuale dell'operatore","Penox - Manuale dell'operatore",1,"0.50",FALSO,FALSO,"SMR","N010",FALSO,FALSO
