"Object","ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo","Photo","Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
12593,"SG001","Italy","Servizi generali","Igiene e comfort","Carta igienica 2 veli","Carta igienica 2 veli",120,"17.20","Carta-igienica-2-veli.jpg","FALSO","FALSO","SMR","N013",,
12595,"SG003","Italy","Servizi generali","Igiene e comfort","Asciugamani piegati a Z","Asciugamani piegati a Z",3960,"19.90","Asciugamani-piegati-a-Z.jpg","FALSO","FALSO","SMR","N013",,
12597,"SG005","Italy","Servizi generali","Igiene e comfort","Asciugamani ovatta in bobina","Asciugamani ovatta in bobina sc.2 rt.",2,"10.82","Asciugamani-ovatta-in-bobina.jpg","FALSO","FALSO","SMR","N013",,
12598,"SG006","Italy","Servizi generali","Igiene e comfort","Sapone liquido da ufficio con erogatore 500ml.","Sapone liquido da ufficio con erogatore 500ml.",12,"26.00","Sapone-liquido-da-ufficio-con-erogatore-500ml..jpg","FALSO","FALSO","SMR","N013",,
12600,"SG008","Italy","Servizi generali","Igiene e comfort","Sapone liquido ricarica x distrib. muro 5lt.","Sapone liquido ricarica x distrib. muro 5lt.",1,"5.28","Sapone-liquido-ricarica-x-distrib.-muro-5lt..jpg","FALSO","FALSO","SMR","N013",,
12601,"SG009","Italy","Servizi generali","Igiene e comfort","Sacco rifiuti 65x100 nero","Sacco rifiuti 65x100 nero (confezione da 20 pezzi)",20,"2.25","Sacco-rifiuti-65x100-nero.jpg","FALSO","FALSO","SMR","N013",,
12604,"SG012","Italy","Servizi generali","Igiene e comfort","Bicchiere Crystal 200cc","Bicchiere Crystal 200cc",100,"0.95","Bicchiere-Crystal-200cc.jpg","FALSO","FALSO","SMR","N013",,
12605,"SG013","Italy","Servizi generali","Igiene e comfort","Pasta lavamani gr 500","Pasta lavamani gr 500",1,"1.62","Pasta-lavamani-gr-500.jpg","FALSO","FALSO","SMR","N013",,
12606,"SG014","Italy","Servizi generali","Igiene e comfort","Deodorante Glade sense","Deodorante Glade sense",1,"6.06","Deodorante-Glade-sense.jpg","FALSO","FALSO","SMR","N013",,
12607,"SG015","Italy","Servizi generali","Igiene e comfort","Ricarica Glade sense","Ricarica Glade sense",1,"4.45","Deodorante-Glade-sense.jpg","FALSO","FALSO","SMR","N013",,
12610,"SG016","Italy","Servizi generali","Igiene e comfort","Sacco rifiuti 65x100 trasparente","Sacco rifiuti 65x100 trasparente",1,"2.25","Sacco-rifiuti-65x100-nero.jpg","FALSO","FALSO","SMR","N013",,
12608,"SG017","Italy","Servizi generali","Pronto soccorso","Armadietto pronto soccorso per 3 o più persone","Armadietto pronto soccorso per 3 o più persone",1,"82.00","Armadietto-pronto-soccorso-per-3-persone.jpg","FALSO","FALSO","SMR","N013",,
12609,"SG020","Italy","Servizi generali","Pronto soccorso","Reintegro armadio 3 o più persone","Reintegro armadio 3 o più persone",1,"37.00","Reintegro-armadio-3-persone.jpg","FALSO","FALSO","SMR","N013",,
12612,"SG021","Italy","Servizi generali","Pronto soccorso","Valigetta pronto soccorso","Valigetta pronto soccorso",1,"75.00","Valigetta-pronto-soccorso.jpg","FALSO","FALSO","SMR","N013",,
