"Object","Object","ID","Country","Categoria","Settore","DescrEn","Prodotto","Confezione","Prezzo",,"Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
14509,11431,"AU0001","Italy","Accessori ufficio","Acc. Scrivania","Perforatore 25 fogli","Perforatore 25 fogli",1,"2.47",,FALSO,FALSO,"SMR","N010",,
14510,11432,"AU0002","Italy","Accessori ufficio","Acc. Scrivania","Cucitrice a pinza ZENITH 548/E","Cucitrice a pinza ZENITH 548/E",1,"13.45",,FALSO,FALSO,"SMR","N010",,
14511,11433,"AU0003","Italy","Accessori ufficio","Acc. Scrivania","Punti Zenith 130/E (confezione da 10 scatole)","Punti Zenith 130/E (confezione da 10 scatole)",10,"4.86",,FALSO,FALSO,"SMR","N010",,
14512,11434,"AU0004","Italy","Accessori ufficio","Acc. Scrivania","Levapunti in metallo","Levapunti in metallo",1,"1.51",,FALSO,FALSO,"SMR","N010",,
14513,11435,"AU0005","Italy","Accessori ufficio","Acc. Scrivania","Forbice impugnatura ABS cm.17","Forbice impugnatura ABS cm.17",1,"0.34",,FALSO,FALSO,"SMR","N010",,
14514,11436,"AU0006","Italy","Accessori ufficio","Acc. Scrivania","Forbici nichelate con impugnatura ABS 21 cm","Forbici nichelate con impugnatura ABS 21 cm",1,"0.79",,FALSO,FALSO,"SMR","N010",,
14515,11437,"AU0007","Italy","Accessori ufficio","Acc. Scrivania","Righello in plexiglass da 20 cm","Righello in plexiglass da 20 cm",1,"0.51",,FALSO,FALSO,"SMR","N010",,
14516,11438,"AU0008","Italy","Accessori ufficio","Acc. Scrivania","Righello in plexiglass da 30 cm","Righello in plexiglass da 30 cm",1,"0.42",,FALSO,FALSO,"SMR","N010",,
14517,11439,"AU0009","Italy","Accessori ufficio","Acc. Scrivania","Temperamatite 1 foro","Temperamatite 1 foro",1,"0.23",,FALSO,FALSO,"SMR","N010",,
14518,11440,"AU0010","Italy","Accessori ufficio","Acc. Scrivania","Temperamatite 2 fori","Temperamatite 2 fori",1,"0.49",,VERO,FALSO,"SMR","N010",,
14519,11441,"AU0011","Italy","Accessori ufficio","Acc. Scrivania","Cucitrice Elica","Cucitrice Elica",1,"4.73",,FALSO,FALSO,"SMR","N010",,
14520,11442,"AU0012","Italy","Accessori ufficio","Acc. Scrivania","Perforatore per alti spessori (70 fogli)","Perforatore per alti spessori (70 fogli)",1,"26.28",,FALSO,FALSO,"SMR","N010",,
14521,11443,"AU0013","Italy","Accessori ufficio","Acc. Scrivania","Cestino gettacarte rosso","Cestino gettacarte rosso",1,"1.88",,FALSO,FALSO,"SMR","N010",,
14522,11444,"AU0014","Italy","Accessori ufficio","Acc. Scrivania","Cestino gettacarte nero","Cestino gettacarte nero",1,"1.88",,FALSO,FALSO,"SMR","N010",,
14523,11445,"AU0015","Italy","Accessori ufficio","Acc. Scrivania","Cestino gettacarte blu","Cestino gettacarte blu",1,"1.88",,FALSO,FALSO,"SMR","N010",,
14524,11446,"AU0016","Italy","Accessori ufficio","Acc. Scrivania","Cestino gettacarte grigio","Cestino gettacarte grigio",1,"1.88",,FALSO,FALSO,"SMR","N010",,
14525,11447,"AU0017","Italy","Accessori ufficio","Acc. Scrivania","Bacinella Portacorrispondenza Acco blu","Bacinella Portacorrispondenza Acco blu",1,"2.50",,FALSO,FALSO,"SMR","N010",,
14526,11448,"AU0018","Italy","Accessori ufficio","Acc. Scrivania","Bacinella Portacorrispondenza Acco nera","Bacinella Portacorrispondenza Acco nera",1,"2.50",,FALSO,FALSO,"SMR","N010",,
14527,11449,"AU0019","Italy","Accessori ufficio","Acc. Scrivania","Bacinella Portacorrispondenza Acco rossa","Bacinella Portacorrispondenza Acco rossa",1,"2.50",,FALSO,FALSO,"SMR","N010",,
14528,11450,"AU0020","Italy","Accessori ufficio","Acc. Scrivania","Portariviste Rack blu","Portariviste Rack blu",1,"3.56",,FALSO,FALSO,"SMR","N010",,
14529,11451,"AU0021","Italy","Accessori ufficio","Acc. Scrivania","Portariviste Rack nero","Portariviste Rack nero",1,"3.56",,FALSO,FALSO,"SMR","N010",,
14530,11452,"AU0022","Italy","Accessori ufficio","Acc. Scrivania","Portariviste Rack rosso","Portariviste Rack rosso",1,"3.56",,FALSO,FALSO,"SMR","N010",,
14531,11453,"AU0023","Italy","Accessori ufficio","Acc. Scrivania","Perforatore a 4 fori","Perforatore a 4 fori",1,"12.52",,FALSO,FALSO,"SMR","N010",,
14532,11454,"AU0024","Italy","Accessori ufficio","Acc. Scrivania","Scatola di punti Zenith 515","Scatola di punti Zenith 515",1,"0.76",,FALSO,FALSO,"SMR","N010",,
14533,11455,"AU0025","Italy","Accessori ufficio","Acc. Scrivania","Cucitrice Rapid per alti spessori","Cucitrice Rapid per alti spessori",1,"13.02",,FALSO,FALSO,"SMR","N010",,
14534,11456,"AU0026","Italy","Accessori ufficio","Acc. Scrivania","Sottomano trasparente","Sottomano trasparente",1,"4.37",,FALSO,FALSO,"SMR","N010",,
14535,11457,"AU0027","Italy","Accessori ufficio","Acc. Scrivania","Portaoggetti da scrivania","Portaoggetti da scrivania",1,"16.38",,FALSO,FALSO,"SMR","N010",,
14536,11458,"AU0028","Italy","Accessori ufficio","Acc. Scrivania","Bicchiere portapenne nero","Bicchiere portapenne nero",1,"1.32",,FALSO,FALSO,"SMR","N010",,
14537,11459,"AU0029","Italy","Accessori ufficio","Acc. Scrivania","Bicchiere portapenne nero","Bicchiere portapenne nero",1,"1.32",,FALSO,FALSO,"SMR","N010",,
14538,11460,"AU0030","Italy","Accessori ufficio","Acc. Scrivania","Spugna bagnadita","Spugna bagnadita",1,"1.49",,FALSO,FALSO,"SMR","N010",,
14539,11461,"AU0031","Italy","Accessori ufficio","Colla","Colla Stick Pritt 40gr.","Colla Stick Pritt 40gr.",1,"1.28",,FALSO,FALSO,"SMR","N010",,
14540,11462,"AU0032","Italy","Accessori ufficio","Colla","Colla stick Pritt 20 g","Colla stick Pritt 20 g",1,"0.78",,FALSO,FALSO,"SMR","N010",,
14541,11463,"AU0033","Italy","Accessori ufficio","Colla","Colla a nastro mini roller","Colla a nastro mini roller",1,"2.48",,FALSO,FALSO,"SMR","N010",,
14542,11464,"AU0034","Italy","Accessori ufficio","Colla","Super attack","Super attack",1,"3.69",,FALSO,FALSO,"SMR","N010",,
14543,11465,"AU0035","Italy","Accessori ufficio","Colla","Colla a nastro roller ricaricabile perm.","Colla a nastro roller ricaricabile perm.",1,"4.24",,FALSO,FALSO,"SMR","N010",,
14544,11466,"AU0036","Italy","Accessori ufficio","Colla","Ricarica per colla nastro perm.","Ricarica per colla nastro perm.",1,"3.03",,FALSO,FALSO,"SMR","N010",,
14545,11467,"AU0037","Italy","Accessori ufficio","Fermagli","Scatola da 100 fermagli zincati N.2","Scatola da 100 fermagli zincati N.2",10,"1.48",,FALSO,FALSO,"SMR","N010",,
14546,11468,"AU0038","Italy","Accessori ufficio","Fermagli","Scatola da 100 fermagli zincati N.3","Scatola da 100 fermagli zincati N.3",10,"1.69",,FALSO,FALSO,"SMR","N010",,
14547,11469,"AU0039","Italy","Accessori ufficio","Fermagli","Scatola da 100 fermagli zincati N.4","Scatola da 100 fermagli zincati N.4",10,"1.68",,FALSO,FALSO,"SMR","N010",,
14548,11470,"AU0040","Italy","Accessori ufficio","Fermagli","Scatola da 100 fermagli zincati N.6","Scatola da 100 fermagli zincati N.6",10,"5.09",,FALSO,FALSO,"SMR","N010",,
14549,11471,"AU0041","Italy","Accessori ufficio","Fermagli","Scatola da 100 fermagli zincati N.5","Scatola da 100 fermagli zincati N.5",10,"3.85",,FALSO,FALSO,"SMR","N010",,
14550,11472,"AU0042","Italy","Accessori ufficio","Fermagli","Molle fermafogli 1,9 mm","Molle fermafogli 1,9 mm (conf.12)",12,"0.44",,FALSO,FALSO,"SMR","N010",,
14551,11473,"AU0043","Italy","Accessori ufficio","Fermagli","Molle fermafogli 2,5 mm","Molle fermafogli 2,5 mm (conf.12)",12,"0.45",,FALSO,FALSO,"SMR","N010",,
