"Object","ID","Country","Categoria","Settore","Applicazione","Prodotto eng","Prodotto","Confezione","Photo","Prezzo"
27846,"ADR0001","Italy","Etichette ADR","Monogas","Bombola","Argon compresso","Argon compresso",100,"ADR_Argon-compresso_small.jpg||ADR_Argon-compresso_large.jpg||ADR_Bombola_Inerti-photo_large.jpg",
27847,"ADR0002","Italy","Etichette ADR","Monogas","Bombola","Argon compresso E938","Argon compresso E938",100,"ADR_Argon-compresso-E938_small.jpg||ADR_Argon-compresso-E938_large.jpg||ADR_Bombola_Inerti-photo_large.jpg",
27848,"ADR0003","Italy","Etichette ADR","Monogas","Bombola","Azoto compresso","Azoto compresso",100,"ADR_Azoto-compresso_small.jpg||ADR_Azoto-compresso_large.jpg||ADR_Bombola_Inerti-photo_large.jpg",
27849,"ADR0004","Italy","Etichette ADR","Monogas","Bombola","Azoto compresso E941","Azoto compresso E941",100,"ADR_Azoto-compresso-E941_small.jpg||ADR_Azoto-compresso-E941_large.jpg||ADR_Bombola_Inerti-photo_large.jpg",
27850,"ADR0005","Italy","Etichette ADR","Monogas","Bombola","Diossido di carbonio (anidride carbonica)","Diossido di carbonio",100,"ADR_Diossido-di-carbonio_small.jpg||ADR_Diossido-di-carbonio_large.jpg||ADR_Bombola_Inerti-photo_large.jpg",
27851,"ADR0006","Italy","Etichette ADR","Monogas","Bombola","Diossido di carbonio E290 (anidride carbonica)","Diossido di carbonio E290",100,"ADR_Diossido-di-carbonio-E290_small.jpg||ADR_Diossido-di-carbonio-E290_large.jpg||ADR_Bombola_Inerti-photo_large.jpg",
27852,"ADR0007","Italy","Etichette ADR","Monogas","Bombola","Elio compresso","Elio compresso",100,"ADR_Elio-compresso_small.jpg||ADR_Elio-compresso_large.jpg||ADR_Bombola_Inerti-photo_large.jpg",
27853,"ADR0008","Italy","Etichette ADR","Monogas","Bombola","Elio compresso E939","Elio compresso E939",100,"ADR_Elio-compresso-E939_small.jpg||ADR_Elio-compresso-E939_large.jpg||ADR_Bombola_Inerti-photo_large.jpg",
27854,"ADR0009","Italy","Etichette ADR","Monogas","Bombola","Esafluoruro di zolfo","Esafluoruro di zolfo",100,"ADR_Esalfluoruro-di-zolfo_small.jpg||ADR_Esalfluoruro-di-zolfo_large.jpg||ADR_Bombola_Inerti-photo_large.jpg",
27855,"ADR0010","Italy","Etichette ADR","Monogas","Bombola","kripto compresso","kripto compresso",100,"ADR_Kripto-compresso_small.jpg||ADR_Kripto-compresso_large.jpg||ADR_Bombola_Inerti-photo_large.jpg",
27856,"ADR0011","Italy","Etichette ADR","Monogas","Bombola","Neon compresso","Neon compresso",100,"ADR_Neon-compresso_small.jpg||ADR_Neon-compresso_large.jpg||ADR_Bombola_Inerti-photo_large.jpg",
