"Object","ID","Country","Categoria","Tipologia","Gruppo","Gas","Prodotto","Applicazione","Confezione","Photo","Prezzo"
27846,"ADR0001","Italy","Etichette ADR","Monogas","Monogas","Argon","Argon compresso","Bombola",100,"ADR_Argon-compresso_small.jpg||ADR_Argon-compresso_large.jpg||ADR_Bombola_Inerti-photo_large.jpg","8.00"
27847,"ADR0002","Italy","Etichette ADR","Monogas","Monogas","Argon","Argon compresso E938","Bombola",100,"ADR_Argon-compresso-E938_small.jpg||ADR_Argon-compresso-E938_large.jpg||ADR_Bombola_Inerti-photo_large.jpg","8.00"
27848,"ADR0003","Italy","Etichette ADR","Monogas","Monogas","Azoto","Azoto compresso","Bombola",100,"ADR_Azoto-compresso_small.jpg||ADR_Azoto-compresso_large.jpg||ADR_Bombola_Inerti-photo_large.jpg","8.00"
27849,"ADR0004","Italy","Etichette ADR","Monogas","Monogas","Azoto","Azoto compresso E941","Bombola",100,"ADR_Azoto-compresso-E941_small.jpg||ADR_Azoto-compresso-E941_large.jpg||ADR_Bombola_Inerti-photo_large.jpg","8.00"
27850,"ADR0005","Italy","Etichette ADR","Monogas","Monogas","Diossido carbonio","Diossido di carbonio (anidride carbonica)","Bombola",100,"ADR_Diossido-di-carbonio_small.jpg||ADR_Diossido-di-carbonio_large.jpg||ADR_Bombola_Inerti-photo_large.jpg","8.00"
27851,"ADR0006","Italy","Etichette ADR","Monogas","Monogas","Diossido carbonio","Diossido di carbonio E290 (anidride carbonica)","Bombola",100,"ADR_Diossido-di-carbonio-E290_small.jpg||ADR_Diossido-di-carbonio-E290_large.jpg||ADR_Bombola_Inerti-photo_large.jpg","8.00"
27852,"ADR0007","Italy","Etichette ADR","Monogas","Monogas","Elio","Elio compresso","Bombola",100,"ADR_Elio-compresso_small.jpg||ADR_Elio-compresso_large.jpg||ADR_Bombola_Inerti-photo_large.jpg","8.00"
27853,"ADR0008","Italy","Etichette ADR","Monogas","Monogas","Elio","Elio compresso E939","Bombola",100,"ADR_Elio-compresso-E939_small.jpg||ADR_Elio-compresso-E939_large.jpg||ADR_Bombola_Inerti-photo_large.jpg","8.00"
27854,"ADR0009","Italy","Etichette ADR","Monogas","Monogas rari","Esafl. zolfo","Esafluoruro di zolfo","Bombola",100,"ADR_Esalfluoruro-di-zolfo_small.jpg||ADR_Esalfluoruro-di-zolfo_large.jpg||ADR_Bombola_Inerti-photo_large.jpg","8.00"
27855,"ADR0010","Italy","Etichette ADR","Monogas","Monogas rari","Kripto","kripto compresso","Bombola",100,"ADR_Kripto-compresso_small.jpg||ADR_Kripto-compresso_large.jpg||ADR_Bombola_Inerti-photo_large.jpg","8.00"
27856,"ADR0011","Italy","Etichette ADR","Monogas","Monogas rari","Neon","Neon compresso","Bombola",100,"ADR_Neon-compresso_small.jpg||ADR_Neon-compresso_large.jpg||ADR_Bombola_Inerti-photo_large.jpg","8.00"
27857,"ADR0012","Italy","Etichette ADR","Monogas","Monogas rari","Xeno","Xeno","Bombola",100,"ADR_Xeno_small.jpg||ADR_Xeno_large.jpg||ADR_Bombola_Inerti-photo_large.jpg","8.00"
27858,"ADR0013","Italy","Etichette ADR","Miscele","Enermix inerti","Enermix","Enermix AX155","Bombola",100,"ADR_Enermix-AX155_small.jpg||ADR_Enermix-AX155_large.jpg||ADR_Bombola_Inerti-photo_large.jpg","8.00"
27859,"ADR0014","Italy","Etichette ADR","Miscele","Enermix inerti","Enermix","Enermix C3","Bombola",100,"ADR_Enermix-C3_small.jpg||ADR_Enermix-C3_large.jpg||ADR_Bombola_Inerti-photo_large.jpg","8.00"
27860,"ADR0015","Italy","Etichette ADR","Miscele","Enermix inerti","Enermix","Enermix C5","Bombola",100,"ADR_Enermix-C5_small.jpg||ADR_Enermix-C5_large.jpg||ADR_Bombola_Inerti-photo_large.jpg","8.00"
27861,"ADR0016","Italy","Etichette ADR","Miscele","Enermix inerti","Enermix","Enermix C10","Bombola",100,"ADR_Enermix-C10_small.jpg||ADR_Enermix-C10_large.jpg||ADR_Bombola_Inerti-photo_large.jpg","8.00"
27862,"ADR0017","Italy","Etichette ADR","Miscele","Enermix inerti","Enermix","Enermix C15","Bombola",100,"ADR_Enermix-C15_small.jpg||ADR_Enermix-C15_large.jpg||ADR_Bombola_Inerti-photo_large.jpg","8.00"
