"ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo","Photo","Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
"EC001","Italy","Etichette, collari","Collari, accessori","Collare azzurro per bombole di protossido di azoto","Collare azzurro N2O FU",1000,"210.00",,FALSO,FALSO,"SMR","N011",,
"EC002","Italy","Etichette, collari","Collari, accessori","Collare nero per bombole di aria","Collare nero ARIA FU",1000,"210.00","Collare-nero-per-bombole-di-aria.jpg",FALSO,FALSO,"SMR","N011",,
"EC003","Italy","Etichette, collari","Collari, accessori","Collare grigio per bombole di anidride carbonica","Collare grigio CO2 FU",1000,"210.00","Collare-grigio-per-bombole-di-anidride-carbonica.jpg",FALSO,FALSO,"SMR","N011",,
"EC004","Italy","Etichette, collari","Collari, accessori","Collare per bombole varie","Collare bianco VARIE FU",1000,"210.00","Collare-per-bombole-varie.jpg",FALSO,FALSO,"SMR","N011",,
"EC005","Italy","Etichette, collari","Collari, accessori","Collare turchese per bombole di gas alimentare","Collare turchese gas alimentari",1000,"210.00","Collare-turchese-per-bombole-di-gas-alimentare.jpg",FALSO,FALSO,"SMR","N011",,
"EC006","Italy","Etichette, collari","Collari, accessori","Bustine di plastica per cartoncini di lotto","Bustina portacartellino",1000,"150.00","Bustine-di-plastica-per-cartoncini-di-lotto.jpg",FALSO,FALSO,"SMR","N011",,
"EC007","Italy","Etichette, collari","Collari, accessori","Kit per timbratura su collari","Kit per timbratura su collari",,"7.00",,FALSO,FALSO,"SMR","N011",,
"EC008","Italy","Etichette, collari","Collari, accessori","Rete di protezione per bombole da 14 litri 13x50 cm","Rete di protezione per bb da 14 litri 13x50 cm",250,"65.00",,FALSO,FALSO,"SMR","N011",,
"EC009","Italy","Etichette, collari","Collari, accessori","Collare per gas puri","Collare per gas puri",1000,"210.00","Collare-per-gas-puri..jpg",FALSO,FALSO,"SMR","N011",,
"EC010","Italy","Etichette, collari","Collari, accessori","Collare per miscele laser","Collare per miscele laser",1000,"210.00","Collare-per-miscele-laser.jpg",FALSO,FALSO,"SMR","N011",,
