"Object","ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo",,"Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
13730,"EC001","Italy","Etichette, collari","Collari, accessori","Collare azzurro per bombole di protossido di azoto","Collare azzurro N2O FU",1000,"210.00",,FALSO,FALSO,"SMR","N011",,
13732,"EC003","Italy","Etichette, collari","Collari, accessori","Collare nero per bombole di aria","Collare nero ARIA FU",1000,"210.00",,FALSO,FALSO,"SMR","N011",,
13733,"EC004","Italy","Etichette, collari","Collari, accessori","Collare grigio per bombole di anidride carbonica","Collare grigio CO2 FU",1000,"210.00",,FALSO,FALSO,"SMR","N011",,
13734,"EC005","Italy","Etichette, collari","Collari, accessori","Collare per bombole varie","Collare bianco VARIE FU",1000,"210.00",,FALSO,FALSO,"SMR","N011",,
13736,"EC007","Italy","Etichette, collari","Collari, accessori","Collare turchese per bombole di gas alimentare","Collare turchese gas alimentari",1000,"210.00",,FALSO,FALSO,"SMR","N011",,
13737,"EC008","Italy","Etichette, collari","Collari, accessori","Bustine di plastica per cartoncini di lotto","Bustina portacartellino",1000,"150.00",,FALSO,FALSO,"SMR","N011",,
13738,"EC009","Italy","Etichette, collari","Collari, accessori","Kit per timbratura su collari","Kit per timbratura su collari",,"7.00",,FALSO,FALSO,"SMR","N011",,
13739,"EC010","Italy","Etichette, collari","Collari, accessori","Rete di protezione per bombole da 14 litri 13x50 cm","Rete di protezione per bb da 14 litri 13x50 cm",250,"65.00",,FALSO,FALSO,"SMR","N011",,
13740,"EC011","Italy","Etichette, collari","Collari, accessori","Collare per gas puri","Collare per gas puri",1000,"210.00",,FALSO,FALSO,"SMR","N011",,
13741,"EC012","Italy","Etichette, collari","Collari, accessori","Collare per miscele laser","Collare per miscele laser",1000,"210.00",,FALSO,FALSO,"SMR","N011",,
13742,"EC013","Italy","Etichette, collari","Collari, accessori","Collare per segnalazione di non idoneità","Collare per segnalazione di non idoneità",1000,"210.00",,FALSO,FALSO,"SMR","N011",,
13743,"EC014","Italy","Etichette, collari","Altre etichette","Etichette SOL per recipienti di proprietà del Cliente","Etich. SOL per recip.ti Cliente",1,"0.15",,FALSO,FALSO,"SMR","N011",,
13745,"EC016","Italy","Etichette, collari","Altre etichette","Etichette per recipienti provenienti da collaudo","Etichette recip. da collaudo",1,"0.15",,FALSO,FALSO,"SMR","N011",,
13747,"EC018","Italy","Etichette, collari","Altre etichette","Etichette adesive per il controllo di apparecchiature CQ","Etichette controllo apparecchi CQ",1,"0.06",,FALSO,FALSO,"SMR","N011",,
13748,"EC019","Italy","Etichette, collari","Altre etichette","Etichette adesive di istruzioni per valvole riduttrici","Etichette istruz. Valv. Riduttrici",1,"0.15",,FALSO,FALSO,"SMR","N011",,
13749,"EC020","Italy","Etichette, collari","Altre etichette","Etichette adesive per recipienti da collaudare","Etich. per recipienti da collaudare",1,"0.15",,FALSO,FALSO,"SMR","N011",,
13750,"EC021","Italy","Etichette, collari","Altre etichette","Etichetta adesiva per ghiaccio secco in pallets","Etich. ghiaccio secco pallets",1,"0.74",,FALSO,FALSO,"SMR","N011",,
13751,"EC022","Italy","Etichette, collari","Altre etichette","Etichetta per unità base guasta","Etich. U.B. guasta",1,"0.05",,FALSO,FALSO,"SMR","N011",,
13752,"EC023","Italy","Etichette, collari","Altre etichette","Etichetta adesiva ""Numero verde VIVISOL""","Etichetta adesiva ""Numero verde VIVISOL""",,"0.11",,FALSO,FALSO,"SMR","N011",,
13753,"EC024","Italy","Etichette, collari","Altre etichette","Etichetta ""materiale in riparazione"" grande","Etichetta ""materiale in riparazione"" grande",1,"0.50",,FALSO,FALSO,"SMR","N011",,
13754,"EC025","Italy","Etichette, collari","Altre etichette","Etichetta ""materiale in riparazione"" piccola","Etichetta ""materiale in riparazione"" piccola",1,"0.50",,FALSO,FALSO,"SMR","N011",,
13755,"EC026","Italy","Etichette, collari","Altre etichette","Kit per stampa di lotti (6 rotoli + 1 nastro inchiostratore)","Kit per stampa di lotti",1,"125.00",,FALSO,FALSO,"SMR","N011",,
13756,"EC027","Italy","Etichette, collari","Altre etichette","Etichetta adesiva - Contenitore Ossigeno Compresso F.U.","Etichetta adesiva - Contenitore GOX F.U.",100,"12.00",,FALSO,FALSO,"SMR","N011",,
13757,"EC028","Italy","Etichette, collari","Altre etichette","Foglio di 6 etichette ""Peso netto:""","Foglio di 6 etichette ""Peso netto:""",1,"0.50",,FALSO,FALSO,"SMR","N011",,
13758,"EC029","Italy","Etichette, collari","Altre etichette","Foglio di 6 etichette ""Contiene gas fluorurati""","Foglio di 6 etichette ""Contiene gas fluorurati""",1,"0.50",,FALSO,FALSO,"SMR","N011",,
13759,"EC030","Italy","Etichette, collari","Altre etichette","Foglio di 6 etichette ""Peso netto kg 30""","Foglio di 6 etichette ""Peso netto kg 30""",1,"0.50",,FALSO,FALSO,"SMR","N011",,
13760,"EC031","Italy","Etichette, collari","Altre etichette","Etichetta ""Avvertenze per il riempimento""","Etichetta ""Avvertenze per il riempimento""",1,"1.00",,FALSO,FALSO,"SMR","N011",,
13761,"EC032","Italy","Etichette, collari","Altre etichette","Etichetta ""Vietato intercettare""","Etichetta ""Vietato intercettare""",1,"1.00",,FALSO,FALSO,"SMR","N011",,
13762,"EC033","Italy","Etichette, collari","Altre etichette","Etichetta per CO2 per colture in vitro","Etichetta per CO2 per colture in vitro",1,"0.50",,FALSO,FALSO,"SMR","N011",,
13763,"EC034","Italy","Etichette, collari","Etichette per tubazioni","Etichette piccole per tubazioni di protossido di azoto medicale (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di N2O",,"1.00",,FALSO,FALSO,"SMR","N011",,
13764,"EC035","Italy","Etichette, collari","Etichette per tubazioni","Etichette piccole per tubazioni di aria medicale (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di aria medicale",,"1.00",,FALSO,FALSO,"SMR","N011",,
13765,"EC036","Italy","Etichette, collari","Etichette per tubazioni","Etichette piccole per tubazioni di SDEGA (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di SDEGA",,"1.00",,FALSO,FALSO,"SMR","N011",,
13766,"EC037","Italy","Etichette, collari","Etichette per tubazioni","Etichette piccole per tubazioni di ossigeno (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di ossigeno",,"1.00",,FALSO,FALSO,"SMR","N011",,
13767,"EC038","Italy","Etichette, collari","Etichette per tubazioni","Etichette piccole per tubazioni di vuoto (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di vuoto",,"1.00",,FALSO,FALSO,"SMR","N011",,
13768,"EC039","Italy","Etichette, collari","Etichette per tubazioni","Etichette piccole per tubazioni di aria tecnica (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di aria tecnica",,"1.00",,FALSO,FALSO,"SMR","N011",,
13769,"EC040","Italy","Etichette, collari","Etichette per tubazioni","Etichette piccole per tubazioni di anidride carbonica medicale (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di CO2 medicale",,"1.00",,FALSO,FALSO,"SMR","N011",,
13770,"EC041","Italy","Etichette, collari","Etichette per tubazioni","Etichette grandi per tubazioni di aria medicale (20 fogli da 4 pezzi ciascuno)","Etichette grandi per tubazioni di aria medicale",,"32.80",,FALSO,FALSO,"SMR","N011",,
13771,"EC042","Italy","Etichette, collari","Etichette per tubazioni","Etichette grandi per tubazioni di SDEGA (20 fogli da 4 pezzi ciascuno)","Etichette grandi per tubazioni di SDEGA",,"32.80",,FALSO,FALSO,"SMR","N011",,
