ID,Country,Settore,Categoria,Prodotto eng,Prodotto,Confezione,Prezzo,Esclusivo,Obsoleto,IDDestinatario,COGE,Note,QuantDef,,
1320,Italy,Manutenzione impianti,Materiali per impianti,Sgrassante O2 Safe Solvent (fusto da 200kg),Sgrassante O2 Safe Solvent (fusto da 200kg) a richiesta (consegna 15 giorni),1,161400,FALSE,FALSE,SMR,N015,,,,
1321,Italy,Manutenzione impianti,Materiali per impianti,Sgrassante O2 Safe Solvent (secchia da 23 kg),Sgrassante O2 Safe Solvent (secchia da 23 kg),1,20861,FALSE,FALSE,SMR,N015,,,,
1322,Italy,Manutenzione impianti,Materiali per impianti,Detergente Aluclean (secchia da 25 l),Detergente Aluclean (secchia da 25 l),1,10000,FALSE,FALSE,SMR,N015,,,,
1323,Italy,Manutenzione impianti,Materiali per impianti,"Teflon uso ossigeno Golden Tape 800  6,4mm x 13,72m","Teflon uso ossigeno Golden Tape 800  6,4mm x 13,72m",1,1122,FALSE,FALSE,SMR,N015,,,,
1324,Italy,Manutenzione impianti,Materiali per impianti,Aggrappante per cinghie 730 Spragrip,Aggrappante per cinghie 730 Spragrip,1,2043,FALSE,FALSE,SMR,N015,,,,
1325,Italy,Manutenzione impianti,Materiali per impianti,Sbloccante 723 Sprasolvo,Sbloccante 723 Sprasolvo,1,1395,FALSE,FALSE,SMR,N015,,,,
1206,Italy,Manutenzione impianti,Raccorderia EIGA,Chiave,Chiave,1,2500,FALSE,FALSE,SMR,N015,,,,
1207,Italy,Manutenzione impianti,Raccorderia EIGA,Tappo con foro di sfiato,Tappo con foro di sfiato,1,5000,FALSE,FALSE,SMR,N015,,,,
1208,Italy,Manutenzione impianti,Raccorderia EIGA,Ghiera per argon,Ghiera per argon,1,12000,FALSE,FALSE,SMR,N015,,,,
1209,Italy,Manutenzione impianti,Raccorderia EIGA,Ghiera per azoto,Ghiera per azoto,1,12000,FALSE,FALSE,SMR,N015,,,,
1210,Italy,Manutenzione impianti,Raccorderia EIGA,Ghiera per ossigeno,Ghiera per ossigeno,1,12000,FALSE,FALSE,SMR,N015,,,,
1150,Italy,Manutenzione impianti,O-ring e valvole,OR-111 9.19x2.62 in Viton compatibili per ossigeno,OR-111 9.19x2.62 in Viton compatibili per ossigeno,250,3200,FALSE,FALSE,SMR,N015,,,,
