"ID";"Country";"Container";"Cylinder Colour";"Cylinder Body ID";"Container material";"Capacity";"Diameter";"Pressure";"Application";"GAS";"Body colour";"Shoulder colour";"Cap";"Cap ID";"Material";"Paint type";"Valve type";"Valve ID";"Valve material";"Gas outlet";"Deep tube";"Deep tube ID";"Deep tube material";"Stamping";"Certification head";"Description";"Solvent"
"Cyl0001";"ITALY";"Cylinder";"ITA-O2-IND-T.jpg";"CB1";"Steel";1;102;200;"Industrial ";"O2";"Grey Ral 7015";"White Ral 9010";"Tulip";"CAP3";"Steel";"Galvanised";"Standard (25E)";"VA2";"Brass";"Standard";"No";"DT2";;"1° A - 1° O";"1° A - 1° O";;
"Cyl0002";"ITALY";"Cylinder";"ITA-O2-IND-T.jpg";"CB1";"Steel";1;102;200;"Industrial ";"O2";"Grey Ral 7015";"White Ral 9010";"Tulip";"CAP3";"Steel";"Galvanised";"Standard (17E)";"VA3";"Brass";"Standard";"No";"DT2";;"1° A - 1° O";"1° A - 1° O";;
"Cyl0003";"ITALY";"Cylinder";"ITA-O2-IND-T.jpg";"CB1";"Steel";1;102;200;"Industrial ";"O2";"Grey Ral 7015";"White Ral 9010";"Tulip";"CAP3";"Steel";"Galvanised";"Residual (25E)";"VA4";"Brass";"Standard";"No";"DT2";;"1° A - 1° O";"1° A - 1° O";;
"Cyl0004";"ITALY";"Cylinder";"ITA-O2-IND-T.jpg";"CB1";"Steel";1;102;200;"Industrial ";"O2";"Grey Ral 7015";"White Ral 9010";"Tulip";"CAP3";"Steel";"Galvanised";"Residual (17E)";"VA5";"Brass";"Standard";"No";"DT2";;"1° A - 1° O";"1° A - 1° O";;
"Cyl0005";"ITALY";"Cylinder";"ITA-O2-IND-D.jpg";"CB1";"Steel";1;102;200;"Industrial ";"O2";"Grey Ral 7015";"White Ral 9010";"DIN";"CAP2";"Steel";"Galvanised";"Standard (25E)";"VA2";"Brass";"Standard";"No";"DT2";;"1° A - 1° O";"1° A - 1° O";;
"Cyl0006";"ITALY";"Cylinder";"ITA-O2-IND-D.jpg";"CB1";"Steel";1;102;200;"Industrial ";"O2";"Grey Ral 7015";"White Ral 9010";"DIN";"CAP2";"Steel";"Galvanised";"Standard (17E)";"VA3";"Brass";"Standard";"No";"DT2";;"1° A - 1° O";"1° A - 1° O";;
"Cyl0007";"ITALY";"Cylinder";"ITA-O2-IND-D.jpg";"CB1";"Steel";1;102;200;"Industrial ";"O2";"Grey Ral 7015";"White Ral 9010";"DIN";"CAP2";"Steel";"Galvanised";"Residual (25E)";"VA4";"Brass";"Standard";"No";"DT2";;"1° A - 1° O";"1° A - 1° O";;
"Cyl0008";"ITALY";"Cylinder";"ITA-O2-IND-D.jpg";"CB1";"Steel";1;102;200;"Industrial ";"O2";"Grey Ral 7015";"White Ral 9010";"DIN";"CAP2";"Steel";"Galvanised";"Residual (17E)";"VA5";"Brass";"Standard";"No";"DT2";;"1° A - 1° O";"1° A - 1° O";;
"Cyl0009";"ITALY";"Cylinder";"ITA-O2-IND-T.jpg";"CB1";"Steel";1;111;200;"Industrial ";"O2";"Grey Ral 7015";"White Ral 9010";"Tulip";"CAP3";"Steel";"Galvanised";"Standard (25E)";"VA2";"Brass";"Standard";"No";"DT2";;"1° A - 1° O";"1° A - 1° O";;
"Cyl0010";"ITALY";"Cylinder";"ITA-O2-IND-T.jpg";"CB1";"Steel";1;111;200;"Industrial ";"O2";"Grey Ral 7015";"White Ral 9010";"Tulip";"CAP3";"Steel";"Galvanised";"Standard (17E)";"VA3";"Brass";"Standard";"No";"DT2";;"1° A - 1° O";"1° A - 1° O";;
"Cyl0011";"ITALY";"Cylinder";"ITA-O2-IND-T.jpg";"CB1";"Steel";1;111;200;"Industrial ";"O2";"Grey Ral 7015";"White Ral 9010";"Tulip";"CAP3";"Steel";"Galvanised";"Residual (25E)";"VA4";"Brass";"Standard";"No";"DT2";;"1° A - 1° O";"1° A - 1° O";;
"Cyl0012";"ITALY";"Cylinder";"ITA-O2-IND-T.jpg";"CB1";"Steel";1;111;200;"Industrial ";"O2";"Grey Ral 7015";"White Ral 9010";"Tulip";"CAP3";"Steel";"Galvanised";"Residual (17E)";"VA5";"Brass";"Standard";"No";"DT2";;"1° A - 1° O";"1° A - 1° O";;
"Cyl0013";"ITALY";"Cylinder";"ITA-O2-IND-D.jpg";"CB1";"Steel";1;111;200;"Industrial ";"O2";"Grey Ral 7015";"White Ral 9010";"DIN";"CAP2";"Steel";"Galvanised";"Standard (25E)";"VA2";"Brass";"Standard";"No";"DT2";;"1° A - 1° O";"1° A - 1° O";;
